dataset,planning_seed,planning_mode,w,L_legacy,L_evidence,revisit_fraction_legacy,revisit_fraction_evidence,new_coverage_fraction_legacy,new_coverage_fraction_evidence,action_disagreement_rate,comparable_action_decisions,number_of_replans_legacy,number_of_replans_evidence,planner_wall_time_legacy,planner_wall_time_evidence,tv_final,tv_max,entropy_legacy_final,entropy_evidence_final,max_cell_legacy_final,max_cell_evidence_final,belief_model,implementation_version,git_commit,experiment_id,config_hash,source_hash,revisit_weight,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size
1,44,online_static,0.5,0.11517700184411951,0.11517700184411951,0.9855964216370788,0.9855964216370788,0.007579306064615853,0.007579306064615853,0.0,6112,4426,4426,2.2704735760344192,2.3809422383783385,0.0033583958196691825,0.003395414203910433,11.688145957309242,11.687019304402279,8.05717718316164e-05,8.029533018489402e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
1,44,online_static_3step,0.5,0.23617276061434028,0.23617276061434028,0.9610955834796268,0.9610955834796268,0.019722589786526457,0.019722589786526457,0.0,5324,4234,4234,108.5203463898506,115.67006687493995,0.015723695452000433,0.015723695452000433,11.780044430203429,11.766081642707077,8.917604729239015e-05,8.762505425880458e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,42,dynamic,0.5,0.21352746725411195,0.21057320366208498,0.9014928335307653,0.9034704266572419,0.046422517098263866,0.045501841351493544,0.26627412495911024,3057,4813,4804,2.160788556211628,2.2328015461098403,0.016312530831904065,0.016312530831904065,12.30941281354009,12.309132363075793,4.007445295893183e-05,4.989382212905237e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,42,dynamic_3step,0.5,0.16827695243457938,0.16825988868682137,0.9013655455667852,0.901395343065784,0.04646635880049103,0.04645174489974864,0.004979548283834252,5623,4807,4811,128.00533301196992,149.6732477552723,0.007127137655883837,0.007127137655883837,12.246897871250559,12.245958887667097,5.947832844642813e-05,6.647932074404729e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,42,online_static,0.5,0.03686715067605617,0.03686715067605617,0.9885432759090732,0.9885432759090732,0.005158706962062313,0.005158706962062313,0.0,6586,5170,5170,2.5111379771260545,2.5195289659313858,0.00020984028122693498,0.00020984028122693498,12.190722597140955,12.193550888401463,0.00010504475479071255,0.0001050374699970253,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,42,online_static_3step,0.5,0.09439282076718422,0.09439282076718422,0.9593983918405473,0.9593983918405473,0.01880224469515403,0.01880224469515403,0.0,6064,5622,5622,156.88009435508866,161.17066505528055,0.0021584278873203657,0.0021584278873203657,12.22452677412059,12.225908239297658,5.705803939839772e-05,6.041304396488558e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,43,dynamic,0.5,0.21922575873127223,0.2246040393006248,0.9060777927755006,0.9036162462040856,0.044335652072251125,0.045548605833869174,0.07376509330406147,4555,4401,4382,2.1789107338991016,2.5026959009701386,0.020667995174506345,0.020667995174506345,12.32221336768227,12.319538239203222,4.4868530431823354e-05,4.435699848955436e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,43,dynamic_3step,0.5,0.16642666019378305,0.16642666019378305,0.8950038983701101,0.8950038983701101,0.04959373355936166,0.04959373355936166,0.0,5686,4436,4436,131.2595336692175,142.2825570476707,0.007342065089075398,0.007342065089075398,12.236517956222364,12.234854697964664,5.7631006522719835e-05,6.382160867332143e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,43,online_static,0.5,0.03932001614730162,0.03932001614730162,0.9838256243460283,0.9838256243460283,0.007499853860992576,0.007499853860992576,0.0,6039,4670,4670,2.9811119395308197,3.1663970187073573,0.00025776157276920567,0.0002584173185436772,12.18999772809004,12.19275453737888,5.7095455280933364e-05,5.821046724472945e-05,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,43,online_static_3step,0.5,0.047191893550107514,0.047191893550107514,0.9826335120746362,0.9826335120746362,0.007932425322967207,0.007932425322967207,0.0,6324,4503,4503,135.72756477596704,123.9205632408848,0.00043566937429753244,0.00043566937429753244,12.196555517562432,12.199164181388886,0.00010561445988935907,0.00010558267246869037,paired,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b1-differential_20260825_120409_419709_fd1a51a1,fd1a51a14df9368e56811aad1772c3bd3c9b85933cf0ea20cb4a2f03772a5fe0,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
