dataset,planning_seed,planning_mode,w,p_d,tau,P_detect,RMST,L,exposure_multiplicity,revisit_fraction,observed_cells,T,H,T_common,H_common,actual_distance_total,planner_wall_time,number_of_replans,initial_positions,initial_positions_hash,trajectory_hash,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,condition_key,condition_key_hash,environment_type,environment_climate,prior_support,prior_entropy,implementation_version,git_commit,source_hash,experiment_id,config_hash,victim_seed,sensor_seed,distribution_seed,failure_seed,belief_model,fix_profile,behavior_profile,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt
1,50,online_static_3step,0.5,0.8,10000.0,0.26637741129962206,7011.539375879726,0.2666641613865976,20.74228675136116,0.9517893079009537,8265,8592,8593,8592,8593,200021.92650824538,403.8514762602281,4166,"[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520666.6634226377,5662992.363089708],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]",0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,96b07802bb5dce5d01e5a7ee651a16d4b74df71e58cfbd3da20a5785c45e0bb2,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,50,dynamic_3step,0.5,0.8,10000.0,0.34484019690761136,6759.250457517218,0.3450994466040363,13.794802867383513,0.9275089314712569,12276,8505,8506,8592,8593,200018.1961092048,448.03715978981927,4149,"[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520666.6634226377,5662992.363089708],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]",0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,ea8f22f46cad0d0e780da0ae680824271ef53bb5968da8793923332bd3927f4a,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,online_static_3step,0.5,0.8,10000.0,0.22304104132884917,7291.285452863959,0.22323438669900544,27.639562911778885,0.9638199777908268,6223,8618,8619,8618,8619,200008.59743877704,403.8801183346659,4174,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,8b8b506f25276463adaefb0513aae2c6156dcb92c81c84bc243c3be40f166773,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,dynamic_3step,0.5,0.8,10000.0,0.36825213088207714,6699.238781638727,0.36858245583078203,11.591065056272303,0.9137266510760487,14572,8491,8492,8618,8619,200005.7995939236,434.257009988185,4006,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,ed2cefcc4d675ef28583e4d054ef920a799101a16c6cbb83014eb3c50e5b7f35,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,47,online_static_3step,0.5,0.8,10000.0,0.23512107309662075,7532.933011982638,0.2354270145517172,26.513666072489602,0.9622836013222029,6732,8942,8943,8942,8943,200016.91726904368,396.4174379473552,4051,"[[520655.5473522094,5662825.507658554],[520628.5784474643,5662919.196559933],[520715.42801326327,5662900.496038994],[520688.45327700884,5663000.348420152],[520617.8247240626,5662908.713604079]]",2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,945e7e9fd67b41086dc68f14f07e8ef7a191677eea00a4ae9cf1208072bb30d5,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,47,dynamic_3step,0.5,0.8,10000.0,0.3509255692111265,6995.113061721399,0.35125570884751,12.976128538638102,0.9229354119741978,13070,8512,8513,8942,8943,200017.13150016422,432.5721792182885,3984,"[[520655.5473522094,5662825.507658554],[520628.5784474643,5662919.196559933],[520715.42801326327,5662900.496038994],[520688.45327700884,5663000.348420152],[520617.8247240626,5662908.713604079]]",2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,d420e0cee27147ab60bf9cb53e566d93c9f557daac21255066aadca458fa9f09,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,48,online_static_3step,0.5,0.8,10000.0,0.3086344090292843,6913.713752991634,0.3090139757042794,16.098961231682434,0.9378841910599784,10782,8709,8710,8709,8710,200002.88834325608,430.64105003513396,4320,"[[520601.26125446317,5662962.26140178],[520576.994053098,5662904.989472677],[520606.5952474223,5662836.198260312],[520598.62839204696,5662873.333030157],[520666.2597041656,5662866.748449267]]",4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,a583f88973a6a9c49da4c4f06f4cf1b042b5937f67b1cfaae6e25633d7e10c9c,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,48,dynamic_3step,0.5,0.8,10000.0,0.35317599898982943,6801.132621110324,0.353530363628511,12.232387264082986,0.9182498086096225,13882,8524,8525,8709,8710,200016.7465111143,430.4359934083186,4024,"[[520601.26125446317,5662962.26140178],[520576.994053098,5662904.989472677],[520606.5952474223,5662836.198260312],[520598.62839204696,5662873.333030157],[520666.2597041656,5662866.748449267]]",4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,a49cbfe267a7c63142bcc29f344cecf4e4c25312512a602357b9331ea8649e3e,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,43,online_static_3step,0.5,0.8,10000.0,0.20305374149847052,7501.372629451665,0.20323209086309207,32.17416144489495,0.9689191588811814,5426,8799,8800,8799,8800,200014.28154473013,471.88385146902874,4919,"[[520647.9649749217,5662895.104022372],[520750.9011834474,5662923.705106928],[520619.5439127976,5662887.529284183],[520660.59539358615,5662860.8589034155],[520601.16985800257,5662944.568816733]]",523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,ebdca9896e5432497830b02d1bfd0028ec8410ed44a5ddac541df79da4af96c1,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,43,dynamic_3step,0.5,0.8,10000.0,0.3467262244684453,6988.2640362770235,0.3470015659156097,13.238550066546622,0.9244630269196197,12773,8496,8497,8799,8800,200018.27584712033,422.53694350621663,3905,"[[520647.9649749217,5662895.104022372],[520750.9011834474,5662923.705106928],[520619.5439127976,5662887.529284183],[520660.59539358615,5662860.8589034155],[520601.16985800257,5662944.568816733]]",523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,eba6a650fd702336e382e498553e90f9d6001a916e890d40cf5b04ceb4b63efd,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
