endpoint,mean,sd,ci_lo,ci_hi,cluster_ci_lo,cluster_ci_hi,margin,classification,n_datasets,n_pairs
dPdet,0.11686163340681327,0.0768141838485373,0.08378096539032985,0.15244337508538883,0.08378096539032985,0.15244337508538883,0.01,IMPROVED,18,180
dRMST_rel,0.05583942249042854,0.04373099878998158,0.0376244508432056,0.07677508191915867,0.0376244508432056,0.07677508191915867,0.02,IMPROVED,18,180
