dataset,mobility_model,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,condition_id,w
7,random_walk,46,online_static_3step,dynamic_3step,0.0,0.0,0.1059966732673705,8253.0,0.0,0.0,0.9583497577661076,0.8961481902549338,5282.0,4696.0,511.7994638516102,489.95729451440275,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,random_walk,0.5
7,random_walk,47,online_static_3step,dynamic_3step,0.0,0.0,0.08307058039799396,8267.0,0.0,0.0,0.9588073828679603,0.8984290290783638,5411.0,4692.0,521.9057721924037,487.9125934189651,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,random_walk,0.5
7,random_walk,48,online_static_3step,dynamic_3step,0.0,0.0,0.14315619584592892,8272.0,0.0,0.0,0.983791537786658,0.8996461211804166,5270.0,4456.0,500.87254989077337,461.6388085882645,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,random_walk,0.5
7,random_walk,49,online_static_3step,dynamic_3step,0.0,0.0,0.14271614910821662,8261.0,0.0,0.0,0.9673937172177156,0.8978040957315568,4641.0,4781.0,446.65384875563905,501.3355010203086,7137273470d24672442ea78e63e70285e5d060f4e2f115c218a2de9cd51b6c0a,49,random_walk,0.5
7,random_walk,50,online_static_3step,dynamic_3step,0.0,0.0,0.08253187905213454,8264.0,0.0,0.0,0.9631790426171418,0.9149909381203073,4893.0,4760.0,478.33878141036257,494.2143538778182,fdf9951f218e61b913618a579bd13a77417b8831a28d26d86ea79bbbe03fffcf,50,random_walk,0.5
7,random_walk,51,online_static_3step,dynamic_3step,0.0,0.0,0.13603929186094788,8275.0,0.0,0.0,0.9682092299879388,0.8989009366946916,4162.0,3990.0,403.75273273698986,425.9346688997466,a8f19df2d616560c37b26732016a8ecb989b028f1788c364e916ef8c4d117ae0,51,random_walk,0.5
7,route_following,42,online_static_3step,dynamic_3step,0.0,0.0,0.07388801555826498,8233.0,0.0,0.0,0.9593983918405473,0.901395343065784,5622.0,4811.0,512.1656848895364,506.266283956822,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,route_following,0.5
7,route_following,43,online_static_3step,dynamic_3step,0.0,0.0,0.11926857990950414,8246.0,0.0,0.0,0.9826335120746362,0.8950038983701101,4503.0,4436.0,411.2593370459508,476.5470378054306,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,route_following,0.5
7,route_following,44,online_static_3step,dynamic_3step,0.999999995904,0.9503028428730315,0.16465590033671007,8255.0,0.0,12.0,0.9750023870906139,0.8964925174941789,5735.0,4676.0,541.998273902107,487.002179088071,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,route_following,0.5
7,route_following,45,online_static_3step,dynamic_3step,0.0,0.0,0.12407843812633106,8263.0,0.0,0.0,0.9678913930654548,0.8976958127547277,4465.0,3920.0,431.25567063852213,427.55215600226074,b98c42be92a0d05dad7817d60024cbaa2a663d58f33ed7d93a3770ce5fd54421,45,route_following,0.5
