dataset,mobility_model,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state
1,lost_person,10,-0.09984,0.31572180159121094,0.09983999999999997,-0.3256937711337727,0.1260137711337727,0,10,0.8041769225262912,0.14990828820173147,0.8041769225262912,False,10,-0.08400959972858493,0.24308220734404043,0.0768693433868477,-0.2579001354707373,0.08988093601356742,0,10,0.7867228768030368,0.1045202677520471,0.7867228768030368,False,INCONCLUSIVE
1,random_walk,10,0.2991999995904,0.48176268872859507,0.15234673880690888,-0.0454322668305962,0.6438322660113962,3,10,0.03649193076490498,0.9549337187297299,0.9549337187297299,False,10,0.15828738935965575,0.30236512551757355,0.09561624816382308,-0.05801159130402733,0.37458637002333883,3,10,0.04755583190756268,0.908994723909587,0.908994723909587,False,INCONCLUSIVE
1,route_following,10,0.2999999795199998,0.48304585856371557,0.15275251273728924,-0.0455502113040831,0.6455501703440827,3,10,0.036501029657105194,0.9549477244693467,0.9549477244693467,False,10,0.17040462681659624,0.3119359002701685,0.09864279288288652,-0.052740873661845294,0.3935501272950378,3,10,0.04281951491035247,0.9191689294720978,0.9191689294720978,False,INCONCLUSIVE
7,lost_person,10,-0.099968,0.3161265731317126,0.09996800000000002,-0.326111327250611,0.12617532725061098,0,10,0.8042092685576435,0.1499347704008363,0.8042092685576435,False,10,-0.037580224023221066,0.11883910289275502,0.03758022402322106,-0.12259259697691177,0.04743214893046963,0,10,0.6744776408031865,0.0799186978889337,0.6744776408031865,False,INCONCLUSIVE
7,random_walk,10,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,True,10,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,True,EQUIVALENT
7,route_following,10,0.299999999164416,0.48304589019422994,0.15275252273973614,-0.04555021428677375,0.6455502126156057,3,10,0.03650102990990682,0.9549477247781074,0.9549477247781074,False,10,0.23724898072205375,0.3985223213237179,0.12602382338004375,-0.04783671402032813,0.5223346754644356,3,10,0.03580879240132523,0.9405890438294363,0.9405890438294363,False,INCONCLUSIVE
10,lost_person,10,0.19919361022361598,0.41995807465561297,0.13280240376907693,-0.10122629869942074,0.4996135191466527,2,10,0.07482884118591657,0.9059977992006611,0.9059977992006611,False,10,0.07374990336193696,0.21849305897052634,0.06909357192843477,-0.08255061527928473,0.23005042200315864,2,10,0.10393986093015181,0.7717133843488942,0.7717133843488942,False,INCONCLUSIVE
10,random_walk,10,-1.0158079999378344e-08,0.471404496653576,0.14907119086705228,-0.33722247234484065,0.3372224520286807,2,10,0.47399152433422503,0.47399147158291655,0.47399152433422503,False,10,-0.01291116030949635,0.3519101875789596,0.11128377245666077,-0.2646525432755371,0.2388302226565444,1,10,0.4753005142914492,0.3870689292495046,0.4753005142914492,False,INCONCLUSIVE
10,route_following,10,0.19999974399685427,0.42163648165385115,0.1333331626645968,-0.10162082496340158,0.5016203129571102,3,10,0.07485462619010502,0.9060504290726729,0.9060504290726729,False,10,0.154781595418752,0.33184127065854924,0.10493742369254189,-0.08260334923292167,0.3921665400704257,2,10,0.06507546049342214,0.8844619209220056,0.8844619209220056,False,INCONCLUSIVE
