dataset,planning_seed,w,L_static3,revisit_static3,newcov_static3,replans_static3,wall_static3,L_dyn3,revisit_dyn3,newcov_dyn3,replans_dyn3,wall_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,horizon,T_static,T_dynamic,T_common,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size,dPdet,dRMST,dRMST_rel,dL
1,45,0.5,0.1511745260268127,0.9793385804946498,0.0104746068363057,3929,111.48616261547431,0.3623940635953106,0.9179002290058312,0.0407215710153752,3893,119.82103527523576,0.1510823015241904,7560.183042027886,0.3621705621873086,6779.484865222071,8670,8669,8508,8669,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.2110882606631182,780.6981768058149,0.09004592581381948,0.21121953756849793
1,45,1.0,0.0065102306345585,0.9992744564004108,0.0003805754300502,3985,107.80030867364258,0.3477558212536762,0.9198966408268734,0.0397496399170931,4014,122.25194189872128,0.0065018528891503,8901.075147752184,0.3474816907358077,6961.067284978508,8959,8958,8508,8958,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3409798378466574,1940.0078627736766,0.21654290241920712,0.3412455906191177
1,46,0.0,0.3669691809957142,0.910250337493783,0.0443750951438575,4033,98.64563568972515,0.3669161145618925,0.910250337493783,0.0443750951438575,4032,103.9819359340472,0.3666378000218637,6607.636447520954,0.366585155217062,6607.642456373335,8494,8493,8493,8493,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,-5.264480480171585e-05,-0.006008852381455654,-7.074231671127447e-07,-5.3066433821691295e-05
1,46,0.5,0.2557455837397967,0.9556586119925148,0.0223368502406407,4148,119.28279981436208,0.3237583279015717,0.9317159080199792,0.0339385458505568,4081,125.0236346811289,0.2555515613681964,7172.242389132364,0.3236052126431871,6971.6734117645055,8626,8625,8522,8625,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.06805365127499069,200.56897736785868,0.023251678340813667,0.068012744161775
1,46,1.0,0.006685075153366,0.9992184316155576,0.000409850463131,4963,134.3030023147585,0.3736747019178507,0.9140457132062996,0.0426273756689345,3937,119.88540025509428,0.0066840101796855,8897.48804659857,0.3733272594075637,6895.486144578605,8957,8956,8506,8956,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3666432492278782,2002.0019020199652,0.22351254906999724,0.36698962676448466
1,47,0.0,0.3376130720494805,0.9209102105587268,0.0391026616860077,4125,101.8526116234716,0.3376130720494805,0.9209102105587268,0.0391026616860077,4125,107.0654823029181,0.3373345548337467,6690.705347382892,0.3373345548337467,6690.705347382892,8500,8499,8499,8499,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,47,0.5,0.235360676658005,0.9622836013222028,0.019707952269986,4051,115.44583757652435,0.3511567331036928,0.9229354119741978,0.0382624682365891,3984,121.1682312109042,0.2351210730966207,7532.933011982638,0.3509255692111265,6995.113061721399,8943,8942,8512,8942,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.1158044961145058,537.8199502612388,0.0601386503702604,0.11579605644568777
1,47,1.0,0.007768017866475,0.999072968207928,0.0004771830392168,3207,86.21522401669063,0.3568726739705812,0.9148300976613304,0.0421765401594903,4067,122.44345271703789,0.0077566355772734,8724.244624054303,0.3566089998474833,6954.665706951718,8792,8791,8500,8791,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3488523642702099,1769.5789171025854,0.2012714873865543,0.3491046561041062
1,48,0.0,0.3679324404128178,0.9089809638425648,0.0449459582889328,4083,100.70201874512712,0.3679324404128178,0.9089809638425648,0.0449459582889328,4083,105.45229633967392,0.3675810786946791,6592.425965032383,0.3675810786946791,6592.425965032383,8487,8486,8486,8486,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,48,0.5,0.3089269027049688,0.9378841910599784,0.0315643406677049,4320,125.9804758108221,0.353430746939526,0.9182498086096224,0.040639600922749,4024,122.28716309869196,0.3086344090292843,6913.713752991634,0.3531759989898294,6801.132621110324,8710,8709,8524,8709,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.04454158996054508,112.58113188130937,0.012925503086258252,0.044503844234557166
1,48,1.0,0.0068615054277057,0.9992441959175626,0.0004039954565148,5629,152.36446785414591,0.3328753795516833,0.9307831777136006,0.0343103387706828,3959,120.21671810990664,0.0068593543251437,9067.747362500104,0.3327284560242897,7255.608551889592,9130,9129,8501,9129,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.325869101699146,1812.1388106105123,0.1984817974381722,0.3260138741239776
1,49,0.0,0.2950475373734667,0.93681274758851,0.0312393878005082,4197,99.50699444185013,0.2950475373734667,0.93681274758851,0.0312393878005082,4197,103.4860183147248,0.2948354707083918,6974.530812182587,0.2948354707083918,6974.530812182587,8504,8503,8503,8503,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,49,0.5,0.2231714844061398,0.9638199777908268,0.0182178530861739,4174,118.15755681379233,0.3684785978099588,0.9137266510760488,0.0426595782053233,4006,120.58944628934842,0.2230410413288491,7291.285452863959,0.3682521308820771,6699.238781638727,8619,8618,8491,8618,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.14521108955322798,592.0466712252319,0.06869087727407261,0.145307113403819
1,49,1.0,0.0067849905220225,0.999244187638634,0.0004039954565148,5632,153.44978700962383,0.3312987833472974,0.9311802971237152,0.0341610361019708,3953,120.273396056029,0.0067774657015649,9068.50018335438,0.3311849626359956,7183.035553289226,9130,9129,8509,9129,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3244074969344307,1885.464630065153,0.20651310296441983,0.32451379282527487
1,50,0.0,0.3597224832804038,0.9167182498275648,0.0413568392332283,3991,97.2966352183139,0.3597224832804038,0.9167182498275648,0.0413568392332283,3991,102.09272304468324,0.3593628284658998,6652.151883247568,0.3593628284658998,6652.151883247568,8517,8516,8516,8516,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,50,0.5,0.2665890215865684,0.9517893079009536,0.0241958148412707,4166,121.84208458208012,0.3450022055526937,0.9275089314712568,0.0359380306099745,4149,126.25032562040724,0.266377411299622,7011.539375879726,0.3448401969076113,6759.250457517218,8593,8592,8505,8592,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0784627856079893,252.2889183625084,0.029359818266322404,0.07841318396612529
1,50,1.0,0.0090665926670287,0.9989424367167776,0.0005445156153026,4592,123.72983395843768,0.3470194306405296,0.925506154173262,0.0369245992247971,3976,119.46754710189998,0.0090583230292084,8714.80974136151,0.3468068230996578,6962.880121481511,8794,8793,8503,8793,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.33774850007044943,1751.9296198799993,0.19921874231066627,0.3379528379735009
1,51,0.0,0.3540006909818717,0.9189999941065188,0.0402356054662341,4089,99.10413645068184,0.3540006909818717,0.9189999941065188,0.0402356054662341,4089,104.13843196025118,0.3537434344416396,6698.74898602228,0.3537434344416396,6698.74898602228,8526,8525,8525,8525,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,51,0.5,0.2207034878299234,0.9654852881249966,0.0181007529538508,3549,101.61362950189503,0.3649098547220396,0.915946837969168,0.0416759370938089,4061,122.66752120049205,0.2205543018396447,7509.282894872386,0.3646539491883437,6908.008516551337,8976,8975,8509,8975,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.144099647348699,601.274378321049,0.06698689598050903,0.14420636689211616
1,51,1.0,0.00687611778424,0.9991370922905856,0.0004361979929037,4510,122.26079816371202,0.3483880030390882,0.9236520056173808,0.0378789653032307,4008,121.01914405426942,0.0068726117317757,8574.997716694817,0.3481803462722618,6687.622789425295,8634,8633,8507,8633,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3413077345404861,1887.3749272695222,0.2185979762878761,0.34151188525484816
