dataset,planning_seed,w,L_static3,revisit_static3,newcov_static3,replans_static3,wall_static3,L_dyn3,revisit_dyn3,newcov_dyn3,replans_dyn3,wall_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,horizon,T_static,T_dynamic,T_common,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size
1,45,0.5,0.15117452602681275,0.9793385804946498,0.010474606836305725,3929,111.48616261547431,0.3623940635953106,0.9179002290058313,0.04072157101537525,3893,119.82103527523577,0.15108230152419047,7560.183042027886,0.36217056218730864,6779.484865222071,8670,8669,8508,8669,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,45,1.0,0.006510230634558547,0.9992744564004108,0.00038057543005023595,3985,107.80030867364258,0.3477558212536762,0.9198966408268734,0.039749639917093106,4014,122.25194189872127,0.0065018528891503,8901.075147752184,0.3474816907358077,6961.067284978508,8959,8958,8508,8958,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,46,0.0,0.3669691809957142,0.910250337493783,0.04437509514385751,4033,98.64563568972517,0.3669161145618925,0.910250337493783,0.04437509514385751,4032,103.98193593404721,0.36663780002186375,6607.636447520954,0.366585155217062,6607.642456373335,8494,8493,8493,8493,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,46,0.5,0.2557455837397967,0.9556586119925149,0.022336850240640773,4148,119.28279981436208,0.3237583279015717,0.9317159080199793,0.03393854585055681,4081,125.0236346811289,0.25555156136819646,7172.242389132364,0.3236052126431871,6971.6734117645055,8626,8625,8522,8625,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,46,1.0,0.006685075153366024,0.9992184316155577,0.00040985046313102335,4963,134.3030023147585,0.3736747019178507,0.9140457132062997,0.04262737566893451,3937,119.88540025509428,0.006684010179685576,8897.48804659857,0.3733272594075637,6895.486144578605,8957,8956,8506,8956,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,47,0.0,0.3376130720494805,0.9209102105587267,0.039102661686007706,4125,101.8526116234716,0.3376130720494805,0.9209102105587267,0.039102661686007706,4125,107.0654823029181,0.33733455483374675,6690.705347382892,0.33733455483374675,6690.705347382892,8500,8499,8499,8499,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,47,0.5,0.23536067665800503,0.9622836013222029,0.019707952269986066,4051,115.44583757652435,0.35115673310369283,0.9229354119741978,0.03826246823658911,3984,121.1682312109042,0.23512107309662075,7532.933011982638,0.3509255692111265,6995.113061721399,8943,8942,8512,8942,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,47,1.0,0.007768017866475004,0.9990729682079281,0.0004771830392168343,3207,86.21522401669063,0.35687267397058126,0.9148300976613304,0.04217654015949038,4067,122.44345271703787,0.007756635577273453,8724.244624054303,0.35660899984748334,6954.665706951718,8792,8791,8500,8791,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,48,0.0,0.3679324404128178,0.9089809638425649,0.044945958288932865,4083,100.70201874512713,0.3679324404128178,0.9089809638425649,0.044945958288932865,4083,105.45229633967392,0.3675810786946791,6592.425965032383,0.3675810786946791,6592.425965032383,8487,8486,8486,8486,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,48,0.5,0.3089269027049688,0.9378841910599784,0.03156434066770496,4320,125.9804758108221,0.35343074693952603,0.9182498086096225,0.04063960092274904,4024,122.28716309869196,0.3086344090292843,6913.713752991634,0.35317599898982943,6801.132621110324,8710,8709,8524,8709,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
