dataset,planning_seed,method,P_detect_Tref,P_detect_k0_Tref,retention_Tref,RMST_Tref,RMST_k0_Tref,NRMST_Tref,degradation_RMST_Tref,retention_budget
1,42,dynamic_evidence_3step,0.3189291146813701,0.3351152968415509,0.951699661839567,6364.463199898047,6321.813324822209,0.795458467678796,0.005330568063471737,1.0105729974708308
1,43,dynamic_evidence_3step,0.3187290765985157,0.3320741810985039,0.9598128813994437,6508.826833296428,6472.930969878013,0.8135016664537468,0.00448642212453637,1.0357493131753834
1,44,dynamic_evidence_3step,0.3334961946829449,0.3474324054336298,0.959887993944344,6351.542370451056,6329.611060011195,0.7938435658606494,0.0027410711710861993,1.0136532727003047
1,45,dynamic_evidence_3step,0.3132315175048134,0.3165806481089322,0.9894209244180762,6565.260017541249,6556.6839286403965,0.8205549328260529,0.0010718771279655647,1.0594299340472662
1,46,dynamic_evidence_3step,0.3394270421652926,0.3640512339306406,0.9323606419363507,6294.1958597599205,6242.910299301335,0.7866761479514961,0.0064098938205956356,0.9781049542578768
1,47,dynamic_evidence_3step,0.3453599415446954,0.3644502315850572,0.9476189383737396,6336.3522437163065,6306.755178827765,0.7919450373348714,0.003699170714728328,0.9987821482849788
1,48,dynamic_evidence_3step,0.3290251362984638,0.3458810168589529,0.9512668237373583,6383.622312461128,6339.4777145642465,0.7978530574254628,0.005517385063977171,1.0233059140448324
1,49,dynamic_evidence_3step,0.3446225480080794,0.3607925509857098,0.9551819932716105,6319.432254829889,6282.376435646202,0.7898303030658529,0.004631398473151751,1.0101876399991612
1,50,dynamic_evidence_3step,0.3221918018369,0.333460468626367,0.9662068885229893,6446.115817289537,6435.583003877735,0.8056637691900433,0.0013164371218349863,1.0424149757454788
1,51,dynamic_evidence_3step,0.3355535755347532,0.3576723486797839,0.9381591190186379,6304.296904066524,6256.9828314424985,0.7879386206807304,0.0059135198880171675,0.9792235302673512
2,42,dynamic_evidence_3step,0.2338072088974454,0.2417979410342225,0.9669528528547473,6845.837839974375,6814.10202167357,0.8556227771496532,0.003966481477416008,1.0170339633977994
2,43,dynamic_evidence_3step,0.232444315634886,0.2473144287198715,0.9398736533005577,6838.779605030989,6807.001261762042,0.854740608052867,0.003971796434064071,0.9947732443633288
2,44,dynamic_evidence_3step,0.2331868081928054,0.2461635207341506,0.9472841771898458,6785.054924023886,6756.361253899703,0.8480258622702019,0.003586260482962501,0.9982162364579952
2,45,dynamic_evidence_3step,0.2327767999294316,0.2494888094956977,0.9330149933375897,6825.130293981912,6781.816606457501,0.853034657415562,0.00541353424877026,0.992995567545046
2,46,dynamic_evidence_3step,0.21597984748004,0.2285759871964249,0.9448929877942056,6879.689600025608,6841.105747603488,0.859853718288415,0.004822378755420559,1.009596476354489
2,47,dynamic_evidence_3step,0.2328754792068745,0.2391821208461118,0.9736324704500178,6806.258345960937,6793.131532495127,0.8506759587502734,0.0016406466024008737,1.0396200110080354
2,48,dynamic_evidence_3step,0.2275293135902305,0.2397058394693404,0.9492022142386425,6834.9907353233075,6806.127787935841,0.8542670585330968,0.0036074174962462432,1.0309971365428845
2,49,dynamic_evidence_3step,0.2210178288446767,0.2329563813304991,0.9487519834501336,6873.683855072609,6840.705643137461,0.8591030939973264,0.004121761271734478,1.0053874966497105
2,50,dynamic_evidence_3step,0.2364167911966972,0.2512213177473676,0.9410697838725689,6808.452994716555,6776.832065979796,0.8509502555576246,0.003952122076835181,0.9842222852068554
2,51,dynamic_evidence_3step,0.232048388566542,0.2456744414125834,0.944536139910631,6821.558909189426,6792.9840788551,0.8525882901124142,0.0035714073658700387,0.98843182769021
3,42,dynamic_evidence_3step,0.2323676848607748,0.2440767636466634,0.9520270647195274,6780.676358426871,6757.703452839906,0.8474786099771118,0.0028712542915841485,0.9885275242739292
3,43,dynamic_evidence_3step,0.2429394166331225,0.2631847439303415,0.9230756046308768,6764.269339123323,6719.304028140238,0.8454279888918039,0.005619961377713429,0.9531892354748952
3,44,dynamic_evidence_3step,0.2076850869762781,0.2145390586018081,0.9680525696803247,6857.853554303004,6842.544940903153,0.8571245537186607,0.0019133375077929396,1.0310130658895384
3,45,dynamic_evidence_3step,0.1944091365774943,0.2271265942114242,0.8559505647168981,6928.123167908113,6859.83049787574,0.8659071575938149,0.008535516814444855,0.8874443205783088
3,46,dynamic_evidence_3step,0.2295433706277664,0.2415048786942369,0.9504709464622673,6772.069876823813,6746.688532844763,0.8464029342361971,0.0031722714634482233,0.9763634423509312
3,47,dynamic_evidence_3step,0.2290200214724193,0.2509693753676223,0.9125417040901846,6780.153275382877,6748.563031803757,0.8474132327687636,0.003948286911525995,0.9440305760028675
