dataset,planning_seed,dPdet,dRMST_rel,dretention,dL,dPostFaultGain,deadhead_total,deadhead_fraction_remaining_budget,assignment_cost,route_length_after_replan,task_splits,empty_sectors,prefix_removed_total,suffix_removed_total,search_inactive_count,remaining_budget_at_failure,postfault_eff_replan,postfault_eff_fixed,postfault_mass_replan,postfault_mass_fixed,postfault_dist_replan,postfault_dist_fixed,termination,budget_utilization,unused_budget
3,51,-0.05960134772261691,-0.026850556525760495,-0.21810394312641912,-0.0598691458095825,-0.059601347722616806,3971.721220758864,0.039723328844905,3971.721220758864,4658642.527691674,0,0,3087,0,0,99984.6019014664,3.653715312036321e-07,9.640310867071858e-07,0.036536115176233785,0.09640526098581678,99997.15920907684,100002.2326200139,budget_exhausted,1.0000627865380527,-12.557307610521093
4,42,-0.06196032132041629,-0.02451149285272113,-0.22646520757896282,-0.062175924144621586,-0.061960321320416206,3478.958982766508,0.03479109441364185,3478.958982766508,4660512.147782933,0,0,2945,0,0,99995.67537037242,3.5553087185336673e-07,9.771908160920948e-07,0.03555482810237831,0.09773075224699979,100004.89666912064,100011.94304899116,budget_exhausted,1.0000461064937598,-9.221298751974246
4,43,-0.019389711582550484,-0.008771834310358937,-0.07080168143622545,-0.019462471345230103,-0.019389711582550498,2728.295836928334,0.02728964161995106,2728.295836928334,4618956.423825119,0,0,6901,0,0,99975.50993611132,7.821136844765998e-07,9.766535853908966e-07,0.07819357877212638,0.09765605011735631,99977.2543609878,99990.46906510908,budget_exhausted,1.000008722124382,-1.744424876436824
4,44,-0.015838881744710875,-0.0073068300086478665,-0.05786378723444463,-0.015918860923663625,-0.015838881744710903,2467.36594064393,0.024673777241762958,2467.36594064393,4619112.890428437,0,0,6885,0,0,99999.52242689676,7.612828820611771e-07,9.204947012940031e-07,0.07613442019396718,0.09205328111763081,100008.05480852646,100004.14015227371,budget_exhausted,1.0000426619081373,-8.532381627475843
4,45,-0.01585562148807601,-0.007380840177813969,-0.057942083443242476,-0.0159347693065513,-0.015855621488076108,2438.8629918328465,0.024390024282593285,2438.8629918328465,4619133.039395304,0,0,6883,0,0,99994.2830550365,7.611639542777959e-07,9.203943318089843e-07,0.07611260086693092,0.09204737017348227,99995.0147917182,100008.62346964724,budget_exhausted,1.000003658683404,-0.7317366808129009
4,46,-0.036106264965637375,-0.014811441985812255,-0.1318893061683707,-0.03623436157602539,-0.0361062649656374,2349.565892079986,0.02350083851155051,2349.565892079986,4639238.273549974,0,0,4972,0,0,99977.9599747128,5.558188163779457e-07,9.183142305049681e-07,0.05557921564335058,0.09181357721937597,99995.20348292388,99980.5667488012,budget_exhausted,1.000086217541066,-17.243508213199675
4,47,-0.019261665385200744,-0.008784385121918004,-0.07034344318154295,-0.019341144886798667,-0.0192616653852008,2782.757216283232,0.027832841639911923,2782.757216283232,4618875.827957651,0,0,6909,0,0,99981.06741256328,7.832500046747728e-07,9.76761581373347e-07,0.0783178544086045,0.09765899929540328,99990.8764011106,99982.43292707388,budget_exhausted,1.0000490449427286,-9.80898854570114
4,48,-0.04323192860835612,-0.016872205810288355,-0.15799383218671725,-0.04339413179554649,-0.043231928608356104,3615.281912600533,0.036154893514498354,3615.281912600533,4639500.2101192465,0,0,4946,0,0,99994.26249591303,5.16423371460631e-07,9.503318244060997e-07,0.05164521536693839,0.09503934716248488,100005.57337454954,100006.48691511384,budget_exhausted,1.0000565543931794,-11.310878635878908
4,49,-0.037813652647950724,-0.014780644967639056,-0.1381273685682759,-0.03797060426705082,-0.0378136526479506,2588.8320012095674,0.025894315781951553,2588.8320012095674,4640144.97705899,0,0,4882,0,0,99976.845227708,5.973740964737999e-07,9.771368596208433e-07,0.05973139480316328,0.0977019990702141,99989.93119344776,99988.0396571318,budget_exhausted,1.0000654298287,-13.085965739970561
4,50,-0.07017314678768333,-0.02634127125567225,-0.2563730889183047,-0.07039530301620903,-0.0701731467876833,3348.1179650500253,0.03348844426433422,3348.1179650500253,4659615.518757351,0,0,3034,0,0,99978.30710266317,3.12183323767669e-07,1.0161542697140659e-06,0.0312151721760065,0.10161047519221528,99989.87709938423,99995.12694150988,budget_exhausted,1.0000578499836184,-11.569996723672375
