study,dataset,planning_mode,trial,seed,num_drones,budget,fov_deg,victim_model,likelihood,victims_found,path_length,cells_observed,sim_time,wall_time,_job_key
nstep_N2,1,dynamic_2step,32,74,5,200000.0,45.0,random_walk,0.3731407403546829,0,200015.14542895457,14391,8500.0,115.36953282356262,dynamic_2step|seed=74
nstep_N2,1,dynamic_2step,33,75,5,200000.0,45.0,random_walk,0.32067870674153615,1,200015.87921199534,11371,8473.0,100.396404504776,dynamic_2step|seed=75
nstep_N2,1,dynamic_2step,34,76,5,200000.0,45.0,random_walk,0.34727744058325954,0,200010.35946532188,13007,8505.0,112.4439160823822,dynamic_2step|seed=76
nstep_N2,1,dynamic_2step,35,77,5,200000.0,45.0,random_walk,0.3286244334099886,0,200020.32256672686,11481,8523.0,118.26416373252869,dynamic_2step|seed=77
nstep_N2,1,dynamic_2step,36,78,5,200000.0,45.0,random_walk,0.3322704277639016,1,200008.6039768617,11562,8503.0,112.60555815696716,dynamic_2step|seed=78
nstep_N2,1,dynamic_2step,37,79,5,200000.0,45.0,random_walk,0.33797162845385603,1,200023.0727275153,12339,8516.0,111.2574245929718,dynamic_2step|seed=79
nstep_N2,1,dynamic_2step,38,80,5,200000.0,45.0,random_walk,0.3095677031645297,0,200006.3200786498,10578,8516.0,113.28276634216309,dynamic_2step|seed=80
nstep_N2,1,dynamic_2step,39,81,5,200000.0,45.0,random_walk,0.3507376720272441,1,200016.75628580054,12662,8519.0,113.4586615562439,dynamic_2step|seed=81
nstep_N2,1,dynamic_2step,40,82,5,200000.0,45.0,random_walk,0.352535932416107,0,200005.7275065044,13623,8521.0,114.77490544319153,dynamic_2step|seed=82
nstep_N2,1,dynamic_2step,41,83,5,200000.0,45.0,random_walk,0.2894071415795962,0,200014.3589911518,9396,8501.0,109.63896918296814,dynamic_2step|seed=83
nstep_N2,1,dynamic_2step,42,84,5,200000.0,45.0,random_walk,0.36680696865306983,1,200006.50418611453,14314,8528.0,116.40054440498352,dynamic_2step|seed=84
nstep_N2,1,dynamic_2step,43,85,5,200000.0,45.0,random_walk,0.3134185097451875,0,200018.8824353345,10604,8497.0,114.06571626663208,dynamic_2step|seed=85
nstep_N2,1,dynamic_2step,44,86,5,200000.0,45.0,random_walk,0.3348984190690496,0,200014.77920131298,11852,8500.0,116.40624165534973,dynamic_2step|seed=86
nstep_N2,1,dynamic_2step,45,87,5,200000.0,45.0,random_walk,0.3059929594731676,0,200011.38183692825,10299,8519.0,104.33857941627502,dynamic_2step|seed=87
nstep_N2,1,dynamic_2step,46,88,5,200000.0,45.0,random_walk,0.3432575231366866,0,200008.4155513859,12412,8507.0,111.70696353912354,dynamic_2step|seed=88
nstep_N2,1,dynamic_2step,47,89,5,200000.0,45.0,random_walk,0.3532807541727876,0,200020.58755478135,13002,8503.0,112.33916664123535,dynamic_2step|seed=89
nstep_N2,1,dynamic_2step,48,90,5,200000.0,45.0,random_walk,0.33976051322430306,1,200004.35403569837,12542,8517.0,112.19351363182068,dynamic_2step|seed=90
nstep_N2,1,dynamic_2step,49,91,5,200000.0,45.0,random_walk,0.2791451778502013,1,200024.6406786841,8810,8483.0,102.24697852134705,dynamic_2step|seed=91
nstep_N3,1,dynamic_3step,0,42,5,200000.0,45.0,random_walk,0.365941865995328,0,200020.61429108315,13816,8507.0,134.1470046043396,dynamic_3step|seed=42
nstep_N3,1,dynamic_3step,1,43,5,200000.0,45.0,random_walk,0.3438244085437049,0,200017.88555925371,12606,8527.0,132.7338469028473,dynamic_3step|seed=43
nstep_N3,1,dynamic_3step,2,44,5,200000.0,45.0,random_walk,0.35167563185751277,0,200000.79227947217,13101,8505.0,130.96008443832397,dynamic_3step|seed=44
nstep_N3,1,dynamic_3step,3,45,5,200000.0,45.0,random_walk,0.37022069753258097,1,200013.6752237926,14854,8519.0,139.44667410850525,dynamic_3step|seed=45
nstep_N3,1,dynamic_3step,4,46,5,200000.0,45.0,random_walk,0.32908943840791466,1,200016.1587405721,11322,8512.0,129.46852087974548,dynamic_3step|seed=46
nstep_N3,1,dynamic_3step,5,47,5,200000.0,45.0,random_walk,0.3492746284567058,0,200004.95417804146,13112,8517.0,125.73477125167847,dynamic_3step|seed=47
nstep_N3,1,dynamic_3step,6,48,5,200000.0,45.0,random_walk,0.33249526162115006,1,200005.87392533763,11934,8506.0,132.31234788894653,dynamic_3step|seed=48
nstep_N3,1,dynamic_3step,7,49,5,200000.0,45.0,random_walk,0.3798746632690291,1,200013.7914230317,14780,8519.0,134.40804409980774,dynamic_3step|seed=49
nstep_N3,1,dynamic_3step,8,50,5,200000.0,45.0,random_walk,0.351359611366735,0,200015.7287658248,12844,8521.0,134.4577145576477,dynamic_3step|seed=50
nstep_N3,1,dynamic_3step,9,51,5,200000.0,45.0,random_walk,0.36412352532077535,0,200011.78882046387,14154,8512.0,136.40795826911926,dynamic_3step|seed=51
