planning_mode,baseline,baseline_std,fail1_worst,fail2_worst,fail3_worst,fail1_worst_std,fail2_worst_std,fail3_worst_std,fail1_worst_pct,fail2_worst_pct,fail3_worst_pct,fail1_worst_pct_std,fail2_worst_pct_std,fail3_worst_pct_std,n
dynamic,0.2451490222818861,0.03983835703501431,0.2342524979472267,0.19496330772287798,0.14862400820295896,0.05218592354611887,0.038771805304898724,0.02793995818335853,5.02408057353097,20.462227149532584,38.62579887295146,8.324828776630964,8.239890961893169,11.946033340531415,6
dynamic_3step,0.3082424422003558,0.04443742680882802,0.2727950272540331,0.23174503019707252,0.17869235236420233,0.04025247471021283,0.03582807257869721,0.02823289432545607,11.490150948956172,24.783180197080487,41.91996854081994,3.379928481127112,5.277594743559589,5.922598467661249,6
pizza,0.2661453753374134,0.055697650048207994,0.19078202463612356,0.1259239353120275,0.07617211933561337,0.05819466153334067,0.0478591873353155,0.031482775799673575,29.345064189946072,53.657630224662164,71.85990967155696,9.694416170490479,11.942445680690152,9.008216361907543,3
static,0.2685800362696437,0.05996976217359062,0.1929673962434031,0.1318794362955105,0.07487858069592736,0.054387665698709384,0.04018259271711296,0.02511104021430142,29.068537053765258,51.73651175103371,72.72524253405703,6.8195620833445485,6.396457922535821,4.680006811229491,6
static_3step,0.3327074733298229,0.03821842225286693,0.25461836106888247,0.18069663368675384,0.1115547661994889,0.031009579766886498,0.021322475597077933,0.01362912491127541,23.506796427111976,45.6472930392599,66.39781969613524,2.2228891926569343,3.1184620989627696,3.000904824694961,6
