model,log_likelihood,aic,bic,n_obs,sigma2_residual,var_intercept,var_dynamism,var_horizon,icc,lrt_re_vs_a_stat,lrt_re_vs_a_df,lrt_re_vs_a_p,lrt_interaction_chisq,lrt_interaction_df,lrt_interaction_p,fe_Intercept,se_Intercept,wald_z_Intercept,wald_p_Intercept,fe_dynamism,se_dynamism,wald_z_dynamism,wald_p_dynamism,fe_horizon,se_horizon,wald_z_horizon,wald_p_horizon,fe_dynamism:horizon,se_dynamism:horizon,wald_z_dynamism:horizon,wald_p_dynamism:horizon,fe_dataset Var,se_dataset Var,wald_z_dataset Var,wald_p_dataset Var,fe_dataset x dynamism Cov,se_dataset x dynamism Cov,wald_z_dataset x dynamism Cov,wald_p_dataset x dynamism Cov,fe_dynamism Var,se_dynamism Var,wald_z_dynamism Var,wald_p_dynamism Var,fe_dataset x horizon Cov,se_dataset x horizon Cov,wald_z_dataset x horizon Cov,wald_p_dataset x horizon Cov,fe_dynamism x horizon Cov,se_dynamism x horizon Cov,wald_z_dynamism x horizon Cov,wald_p_dynamism x horizon Cov,fe_horizon Var,se_horizon Var,wald_z_horizon Var,wald_p_horizon Var
B_random_slopes,21570.91,,,9000,0.00046626,0.00434881,0.00028772,0.00079228,0.9032,3600.93,5.0,0.0,1047.3861,1.0,0.0,0.246987,0.015548,15.8858,0.0,-0.016249,0.004046,-4.0157,5.9280931e-05,0.004779,0.006664,0.7172,0.473226288553,0.031738,0.000952,33.3322,0.0,9.327085,3.200326,2.9144,0.003563530948,-0.755339,0.613516,-1.2312,0.21826130162,0.617082,0.214451,2.8775,0.004008409281,0.966988,0.995707,0.9712,0.331470002864,-0.082971,0.251351,-0.3301,0.74132560436,1.69924,0.586384,2.8978,0.003757587729
A_intercept_only,19770.45,,,9000,0.00070881,0.00453948,,,0.8649,,,,,,,0.246987,0.015887,15.5467,0.0,-0.016249,0.000769,-21.142,0.0,0.004779,0.000769,6.2187,5.01e-10,0.031738,0.001174,27.0341,0.0,6.404386,2.174408,2.9453,0.003225930097,,,,,,,,,,,,,,,,,,,,
