dataset,k,n,dRetention_mean,dDegradation_mean,state
1,1,10,-0.006876204761258597,0.0071137526986351455,INCONCLUSIVE
1,2,10,0.008863089344318764,0.019460419778518367,INCONCLUSIVE
1,3,10,0.013246975071887135,0.026397540418191888,IMPROVEMENT
5,1,10,0.061288228880858275,0.00710135202403589,INCONCLUSIVE
5,2,10,0.0369745894949185,0.01772233070696516,INCONCLUSIVE
5,3,10,0.1569253095746622,0.031098695063594695,IMPROVEMENT
10,1,10,0.09945288769500507,0.013494358303633991,IMPROVEMENT
10,2,10,0.22652610337423346,0.027951244036797163,IMPROVEMENT
10,3,10,0.2581415946766796,0.0398858369467876,IMPROVEMENT
