dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,47,2,online_static_3step_vs_pizza_repartition,-0.0219835020393091,0.005395870072530395,-0.05477609570944486,-0.019442359562120117
1,47,3,online_static_3step_vs_pizza_repartition,-0.21410540992130978,-0.007830060241941328,-0.09128953370732065,-0.03266828987659176
1,48,1,online_static_3step_vs_pizza_repartition,-0.22732393446509702,-0.015196737856702947,-0.12667381563874458,-0.043842432495370676
1,48,2,online_static_3step_vs_pizza_repartition,0.023859947261724246,0.006318235518009141,-0.05353761727118933,-0.022327459120658578
1,48,3,online_static_3step_vs_pizza_repartition,0.1801913069170572,0.03494789826258449,-0.0021844719334096763,0.006302203623916775
1,49,1,online_static_3step_vs_pizza_repartition,-0.08292676698623114,0.011248495553790261,-0.09072239351441758,-0.027318811877043058
1,49,2,online_static_3step_vs_pizza_repartition,-0.20231671375529725,0.0023539335816822327,-0.1062188824571638,-0.036213373849151125
1,49,3,online_static_3step_vs_pizza_repartition,-0.1971932692114456,0.006228673312872579,-0.09113395746561412,-0.03233863411796074
1,50,1,online_static_3step_vs_pizza_repartition,-0.13462991061065743,-0.009063108483077786,-0.1031974598304809,-0.04849686695700123
1,50,2,online_static_3step_vs_pizza_repartition,0.07037858991304236,0.029570521478759604,-0.040924448576244554,-0.009863236995163874
1,50,3,online_static_3step_vs_pizza_repartition,-0.18185321518143593,0.009926642753775305,-0.08744903415978392,-0.029507115720148164
1,51,1,online_static_3step_vs_pizza_repartition,0.1860208240135134,0.021821161129519928,-0.05272251714827492,-0.008316248236597138
1,51,2,online_static_3step_vs_pizza_repartition,-0.01592552778381473,0.01349212131298394,-0.0788320359983011,-0.01664528805313308
1,51,3,online_static_3step_vs_pizza_repartition,0.237477274793767,0.03503717794073302,-0.006370819276484169,0.004899768574615904
5,42,1,online_static_3step_vs_pizza_repartition,-0.03755601813367071,-0.0003721871210949912,-0.07808809270902115,-0.02876787694040029
5,42,2,online_static_3step_vs_pizza_repartition,0.23845304357819208,0.026579344696853524,-0.010773518165331897,-0.0018163451224517983
5,42,3,online_static_3step_vs_pizza_repartition,0.0578307378863816,0.018471990322681875,-0.03311922821308233,-0.009923699496623377
5,43,1,online_static_3step_vs_pizza_repartition,-0.20654596231625122,-0.020695667901517556,-0.11565350776944508,-0.06376501044161136
5,43,2,online_static_3step_vs_pizza_repartition,-0.04469842076740571,0.009002092389023275,-0.07119696987622409,-0.03406725015107051
5,43,3,online_static_3step_vs_pizza_repartition,0.04667664203844302,0.028108219327219075,-0.0387102072780076,-0.014961123212874725
5,44,1,online_static_3step_vs_pizza_repartition,0.06083174278773551,0.003357190688790923,-0.09294168443227588,-0.04196432132400342
5,44,2,online_static_3step_vs_pizza_repartition,0.0762394071368635,0.021434354802629008,-0.07274894481320843,-0.023887157210165308
5,44,3,online_static_3step_vs_pizza_repartition,-0.017122030843534364,0.023619398561550153,-0.06788021901217951,-0.021702113451244193
5,45,1,online_static_3step_vs_pizza_repartition,-0.3554701943600871,-0.03696088960413613,-0.13300319234295968,-0.05451915186184931
5,45,2,online_static_3step_vs_pizza_repartition,-0.10984424690477712,-0.005932901124496848,-0.07016298171352281,-0.02349116338221011
5,45,3,online_static_3step_vs_pizza_repartition,-0.011477764522694889,0.004554911004962858,-0.037951887927699685,-0.01300335125275036
5,46,1,online_static_3step_vs_pizza_repartition,0.15649780249838963,0.023248900951408635,-0.10944275706097856,-0.04384801553355775
5,46,2,online_static_3step_vs_pizza_repartition,0.11464124959369681,0.029975398109445495,-0.09263038276483684,-0.037121518375520836
5,46,3,online_static_3step_vs_pizza_repartition,0.6495768698700335,0.06880746320219411,0.003299430671262288,0.0017105467172278661
5,47,1,online_static_3step_vs_pizza_repartition,0.09784249501883602,0.01834168236774958,-0.09434949040360566,-0.03951300698463991
5,47,2,online_static_3step_vs_pizza_repartition,-0.10930776374463103,0.013523629328928255,-0.10771580935911763,-0.04433106002346119
5,47,3,online_static_3step_vs_pizza_repartition,0.16455610412742716,0.035592496035164234,-0.04377435485625325,-0.022262193317225246
5,48,1,online_static_3step_vs_pizza_repartition,0.00842615485506848,0.002345267071605095,-0.06141834500396387,-0.023794569656646093
5,48,2,online_static_3step_vs_pizza_repartition,-0.0965593087761778,-0.00753039057049909,-0.07241309825368447,-0.03367022729875035
5,48,3,online_static_3step_vs_pizza_repartition,-0.018778468101311785,0.004377495319725089,-0.04390334936270332,-0.021762341408526086
5,49,1,online_static_3step_vs_pizza_repartition,-0.2558484754297341,-0.007240145857100866,-0.11891461117195987,-0.044859147334478086
5,49,2,online_static_3step_vs_pizza_repartition,0.018734659492678385,0.020946647946604613,-0.05127860836769571,-0.01667235353077252
5,49,3,online_static_3step_vs_pizza_repartition,-0.007982305709769322,0.016045853764560025,-0.04376743388978824,-0.021573147712817143
5,50,1,online_static_3step_vs_pizza_repartition,0.5276075734232103,0.041047337327907996,-0.09003176503860508,-0.04022915040820287
5,50,2,online_static_3step_vs_pizza_repartition,0.27487217789091856,0.047345026417014546,-0.09249975265951543,-0.03393146131909623
5,50,3,online_static_3step_vs_pizza_repartition,0.4989207377565317,0.06590928573078858,-0.03870356110139696,-0.015367202005322315
5,51,1,online_static_3step_vs_pizza_repartition,0.6170971704650859,0.04794203231674621,-0.0638193501772602,-0.022257789802314538
5,51,2,online_static_3step_vs_pizza_repartition,0.00721509744982729,0.021880105074148837,-0.11413015769270807,-0.04831971704491191
5,51,3,online_static_3step_vs_pizza_repartition,0.2070525732451155,0.04549983736710095,-0.06272998840521363,-0.02469998475195976
