dataset,planning_seed,k,planning_mode,P_detect,RMST,NRMST,retention_Pdet,retention_invalid_reason,degradation_NRMST,T,H,T_common,H_common,budget_total,actual_distance_total,budget_utilization,termination_reason,active_fleet,failed_drone_ids,pizza_assignment_hash
1,50,0,dynamic_evidence_3step,0.34636574097301676,6897.806292733597,0.7925779952583704,1.0,none,0.0,8518,8519,8702,8703,200000.0,200000.24292424528,1.0000012146212265,budget_exhausted,5,[],none
1,50,0,online_static_3step,0.23948073163281963,7344.432586050264,0.8438966547225398,1.0,none,0.0,8652,8653,8702,8703,200000.0,200015.00211225028,1.0000750105612515,budget_exhausted,5,[],none
1,50,0,pizza_repartition,0.32156657275877726,7001.240586051708,0.8044628962486163,1.0,none,0.0,8012,8013,8702,8703,200000.0,200015.77811239188,1.0000788905619593,budget_exhausted,5,[],411a3c6603f6ee07acaa9879b3f9db4904e22b2421d12f43dd8b99994a2262a3
1,50,1,dynamic_evidence_3step,0.3134199374276837,7092.318746956474,0.814928041704754,0.9048814601213702,none,0.02235004644638361,8504,8505,8702,8703,160000.0,160010.3686953575,1.0000648043459843,budget_exhausted,4,[2],none
1,50,1,online_static_3step,0.1747693445533251,7667.686284715619,0.8810394444117683,0.7297845774969807,none,0.03714278968922846,8663,8664,8702,8703,160000.0,160010.6659520766,1.0000666622004788,budget_exhausted,4,[2],none
1,50,1,pizza_repartition,0.277966804383806,7245.618051588837,0.832542577454767,0.8644144881076381,none,0.028079681206150675,8011,8012,8702,8703,160000.0,160017.53040080224,1.000109565005014,budget_exhausted,4,[2],524e244b8e6c0ebf481a24113c42f421bba9b3d908b884c3195eef72f3367049
1,50,2,dynamic_evidence_3step,0.2808377611959462,7226.562641191882,0.830353055405249,0.8108127565012978,none,0.03777506014687859,8506,8507,8702,8703,120000.0,120009.7323515633,1.000081102929694,budget_exhausted,3,"[2,4]",none
1,50,2,online_static_3step,0.1854205472678021,7603.194620603964,0.873629164725263,0.7742608184114599,none,0.029732510002723145,8702,8703,8702,8703,120000.0,120004.80986295304,1.0000400821912754,budget_exhausted,3,"[2,4]",none
1,50,2,pizza_repartition,0.22634499584404666,7517.354869035053,0.8637659277300991,0.7038822284984175,none,0.05930303148148275,8010,8011,8702,8703,120000.0,120008.07644025782,1.0000673036688152,budget_exhausted,3,"[2,4]",5c3df012806321605938f83701f67da402307f0df24c16ee9ece49a20d4d28cf
1,50,3,dynamic_evidence_3step,0.1975543141091129,7676.325019285317,0.8820320601270041,0.5703633204431242,none,0.08945406486863372,8493,8494,8702,8703,80000.0,80008.67351901671,1.000108418987709,budget_exhausted,2,"[2,4,1]",none
1,50,3,online_static_3step,0.08452157742752298,8078.825793686435,0.928280569192972,0.3529368598936572,none,0.08438391447043214,8483,8484,8702,8703,80000.0,80004.02219605111,1.0000502774506388,budget_exhausted,2,"[2,4,1]",none
1,50,3,pizza_repartition,0.1719706115873069,7822.025365573985,0.8987734534728238,0.5347900750750931,none,0.09431055722420745,8008,8009,8702,8703,80000.0,80006.33484019843,1.0000791855024804,budget_exhausted,2,"[2,4,1]",bffb91c572fdd6074daf22a37aaf84e88c5bc0b04fa6e6315f0f4e94e893459f
1,49,0,dynamic_evidence_3step,0.37200675925045923,6819.478128753416,0.7703884013503633,1.0,none,0.0,8506,8507,8851,8852,200000.0,200015.06935571373,1.0000753467785686,budget_exhausted,5,[],none
1,49,0,online_static_3step,0.23979777997169435,7442.220586074398,0.8407388822948936,1.0,none,0.0,8748,8749,8851,8852,200000.0,200010.2905783477,1.0000514528917384,budget_exhausted,5,[],none
1,49,0,pizza_repartition,0.3217311306112487,7100.822780696661,0.8021715748640602,1.0,none,0.0,8011,8012,8851,8852,200000.0,200006.19106095223,1.000030955304761,budget_exhausted,5,[],1857f2c34acf13f50e15d645acc088f7c229096aed22930214d37ca87deb9235
1,49,1,dynamic_evidence_3step,0.29868529251445214,7204.852796402169,0.8139237230458845,0.8029028642282214,none,0.0435353216955211,8497,8498,8851,8852,160000.0,160016.076682632,1.00010047926645,budget_exhausted,4,[3],none
1,49,1,online_static_3step,0.18743520548870807,7593.03316233807,0.8577760011678796,0.7816386186345547,none,0.01703711887298598,8838,8839,8851,8852,160000.0,160008.00993757558,1.0000500621098474,budget_exhausted,4,[3],none
1,49,1,pizza_repartition,0.27815759900312564,7351.207039602485,0.8304571892908365,0.8645653856207859,none,0.02828561442677624,8010,8011,8851,8852,160000.0,160006.67067116126,1.0000416916947579,budget_exhausted,4,[3],a7b6d6bb7b75863d5da631053a664b73786df55ac646fac07fbe42315623017c
1,49,2,dynamic_evidence_3step,0.27701602616744875,7388.843633725926,0.8347089509405701,0.7446532066395694,none,0.06432054959020672,8518,8519,8851,8852,120000.0,120000.35693068488,1.000002974422374,budget_exhausted,3,"[3,1]",none
1,49,2,online_static_3step,0.12036898937443688,7950.698386480208,0.8981810197108233,0.5019603992524251,none,0.05744213741592974,8851,8852,8851,8852,120000.0,120010.02939505948,1.0000835782921622,budget_exhausted,3,"[3,1]",none
1,49,2,pizza_repartition,0.22658787183160067,7630.137601167522,0.8619676458616722,0.7042771130077223,none,0.05979607099761197,8010,8011,8851,8852,120000.0,120010.9049912182,1.0000908749268183,budget_exhausted,3,"[3,1]",547dfc605eb48f57942cd0a283509a04b7be4dbc428bf8620e285b2e5f79f359
1,49,3,dynamic_evidence_3step,0.2034658555447298,7806.200053263394,0.8818572134278574,0.5469412866440507,none,0.11146881207749404,8525,8526,8851,8852,80000.0,80009.2280933535,1.0001153511669187,budget_exhausted,2,"[3,1,0]",none
