horizon,action_agreement,agreement_ties,mean_exact_regret,regret_p90,regret_p95,regret_p99,regret_max,mean_relative_regret,relative_p90,relative_p95,relative_p99,n_decisions
2,0.9262046523153975,0.9409493749307108,2.1810162771791146e-07,0.0,1.9499738119268876e-07,4.67479126379277e-06,6.128855746434195e-05,0.001912174592575351,0.0,0.0016309373275486831,0.054365497246333015,153343
3,0.8891341465789798,0.900501840514695,4.3671760795981693e-07,9.33504961631837e-09,1.1392653125331767e-06,1.2369194557039182e-05,0.00012841012257403618,0.002543793174651818,4.956686568581927e-05,0.00598843240650679,0.0820223502400233,154033
4,0.8585928503965533,0.871414524330129,7.080640793936304e-07,3.8777965761555093e-07,2.2763523302875927e-06,1.969756415009577e-05,0.00014631692242968633,0.003151998403390264,0.001268154101772773,0.008567756613876525,0.08774641041427775,154582
