study,dataset,planner,planning_mode,trial,seed,num_drones,num_victims,budget,pd,tau,w,fov_deg,victim_model,implementation_version,fix_profile,likelihood,L,victims_found,path_length,cells_observed,sim_time,total_time_sim,wall_time,planner_wall_time,number_of_replans,number_of_target_conflicts,first_action_sequence_hash,planning_trace_json,target_trace_json,action_agreement,exact_regret,n_decisions,tree_exact_reward
audit_block_A,1,dynamic_2step,dynamic_2step,42,42,5,5,500.0,0.8,10000.0,0.5,45.0,random_walk,audit_A_base,bellman_no_center,0.0014857451917718607,0.0014857451917718607,0,521.7612933267776,43,22.0,22.0,0.17252612113952637,0.10339908278547227,9,0,476738c3e3959cbde13aa9aaa809dd228ea14f15461a86c9727f9a789ee6b586,"[{""planner"":""dynamic_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":0,""start_row"":327,""start_col"":330,""target_row"":326,""target_col"":329,""score"":0.00027360432112730004,""action_agreement"":true,""exact_optimal_reward"":0.00020223034153684136,""exact_bellman_action_reward"":0.00020223034153684136,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":1,""start_row"":327,""start_col"":331,""target_row"":326,""target_col"":332,""score"":0.00032497614947312543,""action_agreement"":true,""exact_optimal_reward"":0.00024810994414152624,""exact_bellman_action_reward"":0.00024810994414152624,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":2,""start_row"":331,""start_col"":332,""target_row"":332,""target_col"":333,""score"":0.0003450763996291653,""action_agreement"":true,""exact_optimal_reward"":0.0002693938498976201,""exact_bellman_action_reward"":0.0002693938498976201,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":3,""start_row"":326,""start_col"":330,""target_row"":325,""target_col"":329,""score"":0.00034456672397523917,""action_agreement"":true,""exact_optimal_reward"":0.00026260260659160433,""exact_bellman_action_reward"":0.00026260260659160433,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":4,""start_row"":331,""start_col"":331,""target_row"":332,""target_col"":332,""score"":0.0003048252790324454,""action_agreement"":true,""exact_optimal_reward"":0.00023807879321694042,""exact_bellman_action_reward"":0.00023807879321694042,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":2,""sim_time"":8.0,""drone"":1,""start_row"":326,""start_col"":332,""target_row"":325,""target_col"":333,""score"":0.0003685684638336181,""action_agreement"":true,""exact_optimal_reward"":0.00027873946129260716,""exact_bellman_action_reward"":0.00027873946129260716,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":3,""sim_time"":9.0,""drone"":0,""start_row"":326,""start_col"":329,""target_row"":325,""target_col"":328,""score"":0.00031344437930928034,""action_agreement"":true,""exact_optimal_reward"":0.0002278621504860247,""exact_bellman_action_reward"":0.0002278621504860247,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":3,""sim_time"":9.0,""drone"":3,""start_row"":325,""start_col"":329,""target_row"":324,""target_col"":328,""score"":0.0003786835692328706,""action_agreement"":true,""exact_optimal_reward"":0.00028609989572933164,""exact_bellman_action_reward"":0.00028609989572933164,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":4,""sim_time"":10.0,""drone"":2,""start_row"":332,""start_col"":333,""target_row"":333,""target_col"":334,""score"":0.0003663241061096956,""action_agreement"":true,""exact_optimal_reward"":0.00027710621679179095,""exact_bellman_action_reward"":0.00027710621679179095,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":5,""sim_time"":12.0,""drone"":4,""start_row"":332,""start_col"":332,""target_row"":333,""target_col"":331,""score"":0.00028665936973840627,""action_agreement"":true,""exact_optimal_reward"":0.00022411240638421474,""exact_bellman_action_reward"":0.00022411240638421474,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":6,""sim_time"":17.0,""drone"":1,""start_row"":325,""start_col"":333,""target_row"":324,""target_col"":334,""score"":0.0004003170063130256,""action_agreement"":true,""exact_optimal_reward"":0.0003018806464299825,""exact_bellman_action_reward"":0.0003018806464299825,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":7,""sim_time"":18.0,""drone"":0,""start_row"":325,""start_col"":328,""target_row"":324,""target_col"":327,""score"":0.00034405989655361056,""action_agreement"":false,""exact_optimal_reward"":0.00025138479074164003,""exact_bellman_action_reward"":0.0002485821692809564,""exact_regret"":2.8026214606836322e-06},{""planner"":""dynamic_2step"",""replan_id"":7,""sim_time"":18.0,""drone"":3,""start_row"":324,""start_col"":328,""target_row"":323,""target_col"":327,""score"":0.00040173276880588725,""action_agreement"":true,""exact_optimal_reward"":0.00030302946376124763,""exact_bellman_action_reward"":0.00030302946376124763,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":8,""sim_time"":19.0,""drone"":2,""start_row"":333,""start_col"":334,""target_row"":334,""target_col"":335,""score"":0.00039918436029479743,""action_agreement"":true,""exact_optimal_reward"":0.00030106054723353054,""exact_bellman_action_reward"":0.00030106054723353054,""exact_regret"":0.0},{""planner"":""dynamic_2step"",""replan_id"":9,""sim_time"":21.0,""drone"":4,""start_row"":333,""start_col"":331,""target_row"":334,""target_col"":332,""score"":0.0003523358632425604,""action_agreement"":true,""exact_optimal_reward"":0.0002666919191932029,""exact_bellman_action_reward"":0.0002666919191932029,""exact_regret"":0.0}]","[{""replan_id"":1,""sim_time"":1.0,""drone"":0,""start_row"":327,""start_col"":330,""target_row"":326,""target_col"":329,""score"":0.00027360432112730004,""action_agreement"":true,""exact_optimal_reward"":0.00020223034153684136,""exact_bellman_action_reward"":0.00020223034153684136,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":1,""start_row"":327,""start_col"":331,""target_row"":326,""target_col"":332,""score"":0.00032497614947312543,""action_agreement"":true,""exact_optimal_reward"":0.00024810994414152624,""exact_bellman_action_reward"":0.00024810994414152624,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":2,""start_row"":331,""start_col"":332,""target_row"":332,""target_col"":333,""score"":0.0003450763996291653,""action_agreement"":true,""exact_optimal_reward"":0.0002693938498976201,""exact_bellman_action_reward"":0.0002693938498976201,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":3,""start_row"":326,""start_col"":330,""target_row"":325,""target_col"":329,""score"":0.00034456672397523917,""action_agreement"":true,""exact_optimal_reward"":0.00026260260659160433,""exact_bellman_action_reward"":0.00026260260659160433,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":4,""start_row"":331,""start_col"":331,""target_row"":332,""target_col"":332,""score"":0.0003048252790324454,""action_agreement"":true,""exact_optimal_reward"":0.00023807879321694042,""exact_bellman_action_reward"":0.00023807879321694042,""exact_regret"":0.0},{""replan_id"":2,""sim_time"":8.0,""drone"":1,""start_row"":326,""start_col"":332,""target_row"":325,""target_col"":333,""score"":0.0003685684638336181,""action_agreement"":true,""exact_optimal_reward"":0.00027873946129260716,""exact_bellman_action_reward"":0.00027873946129260716,""exact_regret"":0.0},{""replan_id"":3,""sim_time"":9.0,""drone"":0,""start_row"":326,""start_col"":329,""target_row"":325,""target_col"":328,""score"":0.00031344437930928034,""action_agreement"":true,""exact_optimal_reward"":0.0002278621504860247,""exact_bellman_action_reward"":0.0002278621504860247,""exact_regret"":0.0},{""replan_id"":3,""sim_time"":9.0,""drone"":3,""start_row"":325,""start_col"":329,""target_row"":324,""target_col"":328,""score"":0.0003786835692328706,""action_agreement"":true,""exact_optimal_reward"":0.00028609989572933164,""exact_bellman_action_reward"":0.00028609989572933164,""exact_regret"":0.0},{""replan_id"":4,""sim_time"":10.0,""drone"":2,""start_row"":332,""start_col"":333,""target_row"":333,""target_col"":334,""score"":0.0003663241061096956,""action_agreement"":true,""exact_optimal_reward"":0.00027710621679179095,""exact_bellman_action_reward"":0.00027710621679179095,""exact_regret"":0.0},{""replan_id"":5,""sim_time"":12.0,""drone"":4,""start_row"":332,""start_col"":332,""target_row"":333,""target_col"":331,""score"":0.00028665936973840627,""action_agreement"":true,""exact_optimal_reward"":0.00022411240638421474,""exact_bellman_action_reward"":0.00022411240638421474,""exact_regret"":0.0},{""replan_id"":6,""sim_time"":17.0,""drone"":1,""start_row"":325,""start_col"":333,""target_row"":324,""target_col"":334,""score"":0.0004003170063130256,""action_agreement"":true,""exact_optimal_reward"":0.0003018806464299825,""exact_bellman_action_reward"":0.0003018806464299825,""exact_regret"":0.0},{""replan_id"":7,""sim_time"":18.0,""drone"":0,""start_row"":325,""start_col"":328,""target_row"":324,""target_col"":327,""score"":0.00034405989655361056,""action_agreement"":false,""exact_optimal_reward"":0.00025138479074164003,""exact_bellman_action_reward"":0.0002485821692809564,""exact_regret"":2.8026214606836322e-06},{""replan_id"":7,""sim_time"":18.0,""drone"":3,""start_row"":324,""start_col"":328,""target_row"":323,""target_col"":327,""score"":0.00040173276880588725,""action_agreement"":true,""exact_optimal_reward"":0.00030302946376124763,""exact_bellman_action_reward"":0.00030302946376124763,""exact_regret"":0.0},{""replan_id"":8,""sim_time"":19.0,""drone"":2,""start_row"":333,""start_col"":334,""target_row"":334,""target_col"":335,""score"":0.00039918436029479743,""action_agreement"":true,""exact_optimal_reward"":0.00030106054723353054,""exact_bellman_action_reward"":0.00030106054723353054,""exact_regret"":0.0},{""replan_id"":9,""sim_time"":21.0,""drone"":4,""start_row"":333,""start_col"":331,""target_row"":334,""target_col"":332,""score"":0.0003523358632425604,""action_agreement"":true,""exact_optimal_reward"":0.0002666919191932029,""exact_bellman_action_reward"":0.0002666919191932029,""exact_regret"":0.0}]",0.9333333333333333,1.8684143071224216e-07,15.0,
audit_block_A,1,tree_2step,tree_2step,42,42,5,5,500.0,0.8,10000.0,0.5,45.0,random_walk,audit_A_base,bellman_no_center,0.0015232694139865764,0.0015232694139865764,0,521.7612933267776,44,22.0,22.0,0.09057188034057617,0.022381668095476925,9,0,476738c3e3959cbde13aa9aaa809dd228ea14f15461a86c9727f9a789ee6b586,"[{""planner"":""tree_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":0,""start_row"":327,""start_col"":330,""target_row"":326,""target_col"":329,""score"":0.00020223034153684136,""exact_reward"":0.00020223034153684136,""candidate_path"":[[326,329],[325,328]]},{""planner"":""tree_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":1,""start_row"":327,""start_col"":331,""target_row"":326,""target_col"":332,""score"":0.00024810994414152624,""exact_reward"":0.00024810994414152624,""candidate_path"":[[326,332],[325,333]]},{""planner"":""tree_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":2,""start_row"":331,""start_col"":332,""target_row"":332,""target_col"":333,""score"":0.0002693938498976201,""exact_reward"":0.0002693938498976201,""candidate_path"":[[332,333],[333,334]]},{""planner"":""tree_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":3,""start_row"":326,""start_col"":330,""target_row"":325,""target_col"":329,""score"":0.00026260260659160433,""exact_reward"":0.00026260260659160433,""candidate_path"":[[325,329],[324,328]]},{""planner"":""tree_2step"",""replan_id"":1,""sim_time"":1.0,""drone"":4,""start_row"":331,""start_col"":331,""target_row"":332,""target_col"":332,""score"":0.00023807879321694042,""exact_reward"":0.00023807879321694042,""candidate_path"":[[332,332],[333,333]]},{""planner"":""tree_2step"",""replan_id"":2,""sim_time"":8.0,""drone"":1,""start_row"":326,""start_col"":332,""target_row"":325,""target_col"":333,""score"":0.00027873946129260716,""exact_reward"":0.00027873946129260716,""candidate_path"":[[325,333],[324,334]]},{""planner"":""tree_2step"",""replan_id"":3,""sim_time"":9.0,""drone"":0,""start_row"":326,""start_col"":329,""target_row"":325,""target_col"":328,""score"":0.0002278621504860247,""exact_reward"":0.0002278621504860247,""candidate_path"":[[325,328],[324,327]]},{""planner"":""tree_2step"",""replan_id"":3,""sim_time"":9.0,""drone"":3,""start_row"":325,""start_col"":329,""target_row"":324,""target_col"":328,""score"":0.00028609989572933164,""exact_reward"":0.00028609989572933164,""candidate_path"":[[324,328],[323,327]]},{""planner"":""tree_2step"",""replan_id"":4,""sim_time"":10.0,""drone"":2,""start_row"":332,""start_col"":333,""target_row"":333,""target_col"":334,""score"":0.00027710621679179095,""exact_reward"":0.00027710621679179095,""candidate_path"":[[333,334],[334,335]]},{""planner"":""tree_2step"",""replan_id"":5,""sim_time"":12.0,""drone"":4,""start_row"":332,""start_col"":332,""target_row"":333,""target_col"":331,""score"":0.00022411240638421474,""exact_reward"":0.00022411240638421474,""candidate_path"":[[333,331],[334,332]]},{""planner"":""tree_2step"",""replan_id"":6,""sim_time"":17.0,""drone"":1,""start_row"":325,""start_col"":333,""target_row"":324,""target_col"":334,""score"":0.0003018806464299825,""exact_reward"":0.0003018806464299825,""candidate_path"":[[324,334],[323,335]]},{""planner"":""tree_2step"",""replan_id"":7,""sim_time"":18.0,""drone"":0,""start_row"":325,""start_col"":328,""target_row"":326,""target_col"":327,""score"":0.00025138479074164003,""exact_reward"":0.00025138479074164003,""candidate_path"":[[326,327],[325,326]]},{""planner"":""tree_2step"",""replan_id"":7,""sim_time"":18.0,""drone"":3,""start_row"":324,""start_col"":328,""target_row"":323,""target_col"":327,""score"":0.00030302946376124763,""exact_reward"":0.00030302946376124763,""candidate_path"":[[323,327],[322,327]]},{""planner"":""tree_2step"",""replan_id"":8,""sim_time"":19.0,""drone"":2,""start_row"":333,""start_col"":334,""target_row"":334,""target_col"":335,""score"":0.0003010605482517744,""exact_reward"":0.0003010605482517744,""candidate_path"":[[334,335],[335,336]]},{""planner"":""tree_2step"",""replan_id"":9,""sim_time"":21.0,""drone"":4,""start_row"":333,""start_col"":331,""target_row"":334,""target_col"":332,""score"":0.00026670154212614784,""exact_reward"":0.00026670154212614784,""candidate_path"":[[334,332],[335,333]]}]","[{""replan_id"":1,""sim_time"":1.0,""drone"":0,""start_row"":327,""start_col"":330,""target_row"":326,""target_col"":329,""score"":0.00020223034153684136},{""replan_id"":1,""sim_time"":1.0,""drone"":1,""start_row"":327,""start_col"":331,""target_row"":326,""target_col"":332,""score"":0.00024810994414152624},{""replan_id"":1,""sim_time"":1.0,""drone"":2,""start_row"":331,""start_col"":332,""target_row"":332,""target_col"":333,""score"":0.0002693938498976201},{""replan_id"":1,""sim_time"":1.0,""drone"":3,""start_row"":326,""start_col"":330,""target_row"":325,""target_col"":329,""score"":0.00026260260659160433},{""replan_id"":1,""sim_time"":1.0,""drone"":4,""start_row"":331,""start_col"":331,""target_row"":332,""target_col"":332,""score"":0.00023807879321694042},{""replan_id"":2,""sim_time"":8.0,""drone"":1,""start_row"":326,""start_col"":332,""target_row"":325,""target_col"":333,""score"":0.00027873946129260716},{""replan_id"":3,""sim_time"":9.0,""drone"":0,""start_row"":326,""start_col"":329,""target_row"":325,""target_col"":328,""score"":0.0002278621504860247},{""replan_id"":3,""sim_time"":9.0,""drone"":3,""start_row"":325,""start_col"":329,""target_row"":324,""target_col"":328,""score"":0.00028609989572933164},{""replan_id"":4,""sim_time"":10.0,""drone"":2,""start_row"":332,""start_col"":333,""target_row"":333,""target_col"":334,""score"":0.00027710621679179095},{""replan_id"":5,""sim_time"":12.0,""drone"":4,""start_row"":332,""start_col"":332,""target_row"":333,""target_col"":331,""score"":0.00022411240638421474},{""replan_id"":6,""sim_time"":17.0,""drone"":1,""start_row"":325,""start_col"":333,""target_row"":324,""target_col"":334,""score"":0.0003018806464299825},{""replan_id"":7,""sim_time"":18.0,""drone"":0,""start_row"":325,""start_col"":328,""target_row"":326,""target_col"":327,""score"":0.00025138479074164003},{""replan_id"":7,""sim_time"":18.0,""drone"":3,""start_row"":324,""start_col"":328,""target_row"":323,""target_col"":327,""score"":0.00030302946376124763},{""replan_id"":8,""sim_time"":19.0,""drone"":2,""start_row"":333,""start_col"":334,""target_row"":334,""target_col"":335,""score"":0.0003010605482517744},{""replan_id"":9,""sim_time"":21.0,""drone"":4,""start_row"":333,""start_col"":331,""target_row"":334,""target_col"":332,""score"":0.00026670154212614784}]",,,0.0,0.00026255951049195295
audit_block_A,1,dynamic_3step,dynamic_3step,42,42,5,5,500.0,0.8,10000.0,0.5,45.0,random_walk,audit_A_base,bellman_no_center,0.0014857451917718607,0.0014857451917718607,0,521.7612933267776,43,22.0,22.0,0.4359118938446045,0.3668234159704298,9,0,476738c3e3959cbde13aa9aaa809dd228ea14f15461a86c9727f9a789ee6b586,"[{""planner"":""dynamic_3step"",""replan_id"":1,""sim_time"":1.0,""drone"":0,""start_row"":327,""start_col"":330,""target_row"":326,""target_col"":329,""score"":0.0004999002723280357,""action_agreement"":true,""exact_optimal_reward"":0.00034298277028387296,""exact_bellman_action_reward"":0.00034298277028387296,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":1,""sim_time"":1.0,""drone"":1,""start_row"":327,""start_col"":331,""target_row"":326,""target_col"":332,""score"":0.0005602915584425197,""action_agreement"":true,""exact_optimal_reward"":0.0003936296519803943,""exact_bellman_action_reward"":0.0003936296519803943,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":1,""sim_time"":1.0,""drone"":2,""start_row"":331,""start_col"":332,""target_row"":332,""target_col"":333,""score"":0.0005792038908333929,""action_agreement"":true,""exact_optimal_reward"":0.00041434823890554437,""exact_bellman_action_reward"":0.00041434823890554437,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":1,""sim_time"":1.0,""drone"":3,""start_row"":326,""start_col"":330,""target_row"":325,""target_col"":329,""score"":0.000585137814101259,""action_agreement"":true,""exact_optimal_reward"":0.00041063189613478786,""exact_bellman_action_reward"":0.00041063189613478786,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":1,""sim_time"":1.0,""drone"":4,""start_row"":331,""start_col"":331,""target_row"":332,""target_col"":332,""score"":0.0005264621061685173,""action_agreement"":true,""exact_optimal_reward"":0.0003766062583619932,""exact_bellman_action_reward"":0.0003766062583619932,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":2,""sim_time"":8.0,""drone"":1,""start_row"":326,""start_col"":332,""target_row"":325,""target_col"":333,""score"":0.0006213201470743977,""action_agreement"":true,""exact_optimal_reward"":0.00043310275112173923,""exact_bellman_action_reward"":0.00043310275112173923,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":3,""sim_time"":9.0,""drone"":0,""start_row"":326,""start_col"":329,""target_row"":325,""target_col"":328,""score"":0.0005601581091182569,""action_agreement"":true,""exact_optimal_reward"":0.00037914603581248256,""exact_bellman_action_reward"":0.00037914603581248256,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":3,""sim_time"":9.0,""drone"":3,""start_row"":325,""start_col"":329,""target_row"":324,""target_col"":328,""score"":0.0006302669233910004,""action_agreement"":true,""exact_optimal_reward"":0.00043902944528419294,""exact_bellman_action_reward"":0.00043902944528419294,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":4,""sim_time"":10.0,""drone"":2,""start_row"":332,""start_col"":333,""target_row"":333,""target_col"":334,""score"":0.0006184938711456772,""action_agreement"":true,""exact_optimal_reward"":0.0004312020794710375,""exact_bellman_action_reward"":0.0004312020794710375,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":5,""sim_time"":12.0,""drone"":4,""start_row"":332,""start_col"":332,""target_row"":333,""target_col"":331,""score"":0.0005050611463890383,""action_agreement"":true,""exact_optimal_reward"":0.0003649523629351528,""exact_bellman_action_reward"":0.0003649523629351528,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":6,""sim_time"":17.0,""drone"":1,""start_row"":325,""start_col"":333,""target_row"":324,""target_col"":334,""score"":0.0006635841793583549,""action_agreement"":true,""exact_optimal_reward"":0.00046137780713057604,""exact_bellman_action_reward"":0.00046137780713057604,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":7,""sim_time"":18.0,""drone"":0,""start_row"":325,""start_col"":328,""target_row"":324,""target_col"":327,""score"":0.0005961978909860505,""action_agreement"":false,""exact_optimal_reward"":0.0004015873800411092,""exact_bellman_action_reward"":0.0004008077066174101,""exact_regret"":7.796734236991429e-07},{""planner"":""dynamic_3step"",""replan_id"":7,""sim_time"":18.0,""drone"":3,""start_row"":324,""start_col"":328,""target_row"":323,""target_col"":327,""score"":0.0006592946363918715,""action_agreement"":true,""exact_optimal_reward"":0.00045880418061350966,""exact_bellman_action_reward"":0.00045880418061350966,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":8,""sim_time"":19.0,""drone"":2,""start_row"":333,""start_col"":334,""target_row"":334,""target_col"":335,""score"":0.000662194633026561,""action_agreement"":true,""exact_optimal_reward"":0.00046045009483708713,""exact_bellman_action_reward"":0.00046045009483708713,""exact_regret"":0.0},{""planner"":""dynamic_3step"",""replan_id"":9,""sim_time"":21.0,""drone"":4,""start_row"":333,""start_col"":331,""target_row"":334,""target_col"":332,""score"":0.0005992275037450738,""action_agreement"":true,""exact_optimal_reward"":0.0004180848986547842,""exact_bellman_action_reward"":0.0004180848986547842,""exact_regret"":0.0}]","[{""replan_id"":1,""sim_time"":1.0,""drone"":0,""start_row"":327,""start_col"":330,""target_row"":326,""target_col"":329,""score"":0.0004999002723280357,""action_agreement"":true,""exact_optimal_reward"":0.00034298277028387296,""exact_bellman_action_reward"":0.00034298277028387296,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":1,""start_row"":327,""start_col"":331,""target_row"":326,""target_col"":332,""score"":0.0005602915584425197,""action_agreement"":true,""exact_optimal_reward"":0.0003936296519803943,""exact_bellman_action_reward"":0.0003936296519803943,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":2,""start_row"":331,""start_col"":332,""target_row"":332,""target_col"":333,""score"":0.0005792038908333929,""action_agreement"":true,""exact_optimal_reward"":0.00041434823890554437,""exact_bellman_action_reward"":0.00041434823890554437,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":3,""start_row"":326,""start_col"":330,""target_row"":325,""target_col"":329,""score"":0.000585137814101259,""action_agreement"":true,""exact_optimal_reward"":0.00041063189613478786,""exact_bellman_action_reward"":0.00041063189613478786,""exact_regret"":0.0},{""replan_id"":1,""sim_time"":1.0,""drone"":4,""start_row"":331,""start_col"":331,""target_row"":332,""target_col"":332,""score"":0.0005264621061685173,""action_agreement"":true,""exact_optimal_reward"":0.0003766062583619932,""exact_bellman_action_reward"":0.0003766062583619932,""exact_regret"":0.0},{""replan_id"":2,""sim_time"":8.0,""drone"":1,""start_row"":326,""start_col"":332,""target_row"":325,""target_col"":333,""score"":0.0006213201470743977,""action_agreement"":true,""exact_optimal_reward"":0.00043310275112173923,""exact_bellman_action_reward"":0.00043310275112173923,""exact_regret"":0.0},{""replan_id"":3,""sim_time"":9.0,""drone"":0,""start_row"":326,""start_col"":329,""target_row"":325,""target_col"":328,""score"":0.0005601581091182569,""action_agreement"":true,""exact_optimal_reward"":0.00037914603581248256,""exact_bellman_action_reward"":0.00037914603581248256,""exact_regret"":0.0},{""replan_id"":3,""sim_time"":9.0,""drone"":3,""start_row"":325,""start_col"":329,""target_row"":324,""target_col"":328,""score"":0.0006302669233910004,""action_agreement"":true,""exact_optimal_reward"":0.00043902944528419294,""exact_bellman_action_reward"":0.00043902944528419294,""exact_regret"":0.0},{""replan_id"":4,""sim_time"":10.0,""drone"":2,""start_row"":332,""start_col"":333,""target_row"":333,""target_col"":334,""score"":0.0006184938711456772,""action_agreement"":true,""exact_optimal_reward"":0.0004312020794710375,""exact_bellman_action_reward"":0.0004312020794710375,""exact_regret"":0.0},{""replan_id"":5,""sim_time"":12.0,""drone"":4,""start_row"":332,""start_col"":332,""target_row"":333,""target_col"":331,""score"":0.0005050611463890383,""action_agreement"":true,""exact_optimal_reward"":0.0003649523629351528,""exact_bellman_action_reward"":0.0003649523629351528,""exact_regret"":0.0},{""replan_id"":6,""sim_time"":17.0,""drone"":1,""start_row"":325,""start_col"":333,""target_row"":324,""target_col"":334,""score"":0.0006635841793583549,""action_agreement"":true,""exact_optimal_reward"":0.00046137780713057604,""exact_bellman_action_reward"":0.00046137780713057604,""exact_regret"":0.0},{""replan_id"":7,""sim_time"":18.0,""drone"":0,""start_row"":325,""start_col"":328,""target_row"":324,""target_col"":327,""score"":0.0005961978909860505,""action_agreement"":false,""exact_optimal_reward"":0.0004015873800411092,""exact_bellman_action_reward"":0.0004008077066174101,""exact_regret"":7.796734236991429e-07},{""replan_id"":7,""sim_time"":18.0,""drone"":3,""start_row"":324,""start_col"":328,""target_row"":323,""target_col"":327,""score"":0.0006592946363918715,""action_agreement"":true,""exact_optimal_reward"":0.00045880418061350966,""exact_bellman_action_reward"":0.00045880418061350966,""exact_regret"":0.0},{""replan_id"":8,""sim_time"":19.0,""drone"":2,""start_row"":333,""start_col"":334,""target_row"":334,""target_col"":335,""score"":0.000662194633026561,""action_agreement"":true,""exact_optimal_reward"":0.00046045009483708713,""exact_bellman_action_reward"":0.00046045009483708713,""exact_regret"":0.0},{""replan_id"":9,""sim_time"":21.0,""drone"":4,""start_row"":333,""start_col"":331,""target_row"":334,""target_col"":332,""score"":0.0005992275037450738,""action_agreement"":true,""exact_optimal_reward"":0.0004180848986547842,""exact_bellman_action_reward"":0.0004180848986547842,""exact_regret"":0.0}]",0.9333333333333333,5.1978228246609524e-08,15.0,
