dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,44,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.17103550705511994,-0.03848779235858465,0.2776830634124016,0.07603313541167225
1,44,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.14974757946023953,-0.08691584967556386,0.22720265345224552,0.027505536428623623
1,44,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.2247539476806441,-0.08973344086396966,0.21284225682286617,0.02451302854615999
1,44,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.24345075355504847,0.06399009534601822
1,44,1,online_static_3step_vs_random_uniform_n8_uncoordinated,0.061607666627466084,-0.04788384340175794,0.1685846042958336,0.015780055156791206
1,44,2,online_static_3step_vs_random_uniform_n8_uncoordinated,0.17766715996966698,-0.04756990762322716,0.16855457711286023,0.01599444926925255
1,44,3,online_static_3step_vs_random_uniform_n8_uncoordinated,0.26593378730107925,-0.05763087504274127,0.16222804084099937,0.005758565155680677
1,44,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.3048905430405563,0.08935109816720602
1,44,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.23778003116716062,-0.025218519452052245,0.2675439015148415,0.06380638192768469
1,44,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.2015601893578487,-0.05579367446367426,0.21802543820718523,0.03313168524999321
1,44,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.15271938148844127,-0.08957863784993096,0.16562014625538887,-0.000828194830321307
1,44,0,dynamic_evidence_3step_vs_online_static_3step,,,0.10106976257367462,0.05085702921170779
1,44,1,dynamic_evidence_3step_vs_online_static_3step,0.10942784042765386,0.009396051043173294,0.10909845911656801,0.06025308025488105
1,44,2,dynamic_evidence_3step_vs_online_static_3step,-0.027919580509427444,-0.0393459420523367,0.05864807633938529,0.011511087159371073
1,44,3,dynamic_evidence_3step_vs_online_static_3step,-0.041179839620435144,-0.03210256582122839,0.0506142159818668,0.018754463390479315
1,44,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.03962997308816679,0.025496026390519986
1,44,1,dynamic_evidence_3step_vs_pizza_repartition,-0.06674452411204068,-0.013269272906532403,0.010139161897560145,0.01222675348398757
1,44,2,dynamic_evidence_3step_vs_pizza_repartition,-0.05181260989760916,-0.031122175211889598,0.009177215245060294,-0.005626148821369586
1,44,3,dynamic_evidence_3step_vs_pizza_repartition,0.07203456619220283,-0.00015480301403869579,0.0472221105674773,0.025341223376481297
1,44,0,online_static_3step_vs_pizza_repartition,,,-0.06143978948550782,-0.025361002821187802
1,44,1,online_static_3step_vs_pizza_repartition,-0.17617236453969454,-0.022665323949705697,-0.09895929721900787,-0.048026326770893475
1,44,2,online_static_3step_vs_pizza_repartition,-0.02389302938818172,0.008223766840447101,-0.049470861094325,-0.01713723598074066
1,44,3,online_static_3step_vs_pizza_repartition,0.11321440581263797,0.031947762807189695,-0.0033921054143895013,0.006586759986001984
1,45,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.3082515454945284,0.09157988802494539
1,45,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.004474450491775528,-0.00043512856287179443,0.2964281097731728,0.09104920312204613
1,45,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.12193304673611749,-0.027955215467778523,0.2580900356765653,0.06321302871324226
1,45,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.15113060717689852,-0.061686729629899115,0.2040746445241445,0.02920737704854889
1,45,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.2241510016830429,0.05399333735127177
1,45,1,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.24212152929680208,-0.03232341850468239,0.15671175980177987,0.021574362506561976
1,45,2,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.008704760899157837,-0.03635577652652462,0.15612085256414734,0.017225916980822528
1,45,3,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.14103757038711845,-0.07294604660795032,0.07705268599191441,-0.01963849060317574
1,45,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.2982982605832843,0.09475191923130127
1,45,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.10202980964861275,-0.027194374750659694,0.25547667172479316,0.0674619881406141
1,45,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.001874436236332988,-0.05502262380166342,0.21002831524710225,0.039317651585713244
1,45,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.03510586778307623,-0.08733883522413302,0.16028219820783163,0.006727302660670944
1,45,0,dynamic_evidence_3step_vs_online_static_3step,,,0.08410054381148546,0.03758655067367363
1,45,1,dynamic_evidence_3step_vs_online_static_3step,0.23764707880502656,0.031888289941810595,0.13971634997139293,0.06947484061548416
1,45,2,dynamic_evidence_3step_vs_online_static_3step,0.13063780763527533,0.008400561058746099,0.10196918311241798,0.04598711173241973
1,45,3,dynamic_evidence_3step_vs_online_static_3step,0.292168177564017,0.011259316978051201,0.12702195853223008,0.04884586765172463
1,45,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.009953284911244087,-0.0031720312063558747
1,45,1,dynamic_evidence_3step_vs_pizza_repartition,0.09755535915683722,0.0267592461877879,0.04095143804837964,0.023587214981432035
1,45,2,dynamic_evidence_3step_vs_pizza_repartition,0.12380748297245048,0.0270674083338849,0.04806172042946308,0.02389537712752901
1,45,3,dynamic_evidence_3step_vs_pizza_repartition,0.1160247393938223,0.025652105594233907,0.04379244631631288,0.022480074387877944
1,45,0,online_static_3step_vs_pizza_repartition,,,-0.07414725890024138,-0.0407585818800295
1,45,1,online_static_3step_vs_pizza_repartition,-0.14009171964818934,-0.005129043754022698,-0.09876491192301329,-0.04588762563405212
1,45,2,online_static_3step_vs_pizza_repartition,-0.006830324662824849,0.0186668472751388,-0.053907462682954904,-0.02209173460489072
1,45,3,online_static_3step_vs_pizza_repartition,-0.17614343817019468,0.014392788616182706,-0.0832295122159172,-0.026365793263846683
1,46,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.35234278678268816,0.10963559653010045
1,46,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.008307971403690217,-0.03346126871335795,0.3086542072127582,0.07601844453161234
1,46,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.10421715799309295,-0.07591611563946284,0.25437338709168167,0.03325309289209672
