dataset,k,planning_mode,n,P_detect_mean,P_detect_sd,RMST_mean,RMST_sd,L_mean,L_sd,P_detect_se,RMST_se
1,0,dynamic_evidence_3step,10,0.3576370424230835,0.015419533679150752,6923.344365893419,115.20238526048023,0.3579986938087512,0.015485653462360947,0.004876084688379236,36.43019293073276
1,0,online_static_3step,10,0.23187010271973177,0.023656740421729782,7465.737803790985,204.93492872251437,0.23212701700307342,0.02367295942485924,0.007480918174803837,64.80611468874064
1,0,pizza_repartition,10,0.3216789997591264,7.363421600786384e-05,7122.130605325014,94.90399978611015,0.322080021516874,8.148050550872812e-05,2.3285183630568066e-05,30.011279838424077
1,0,random_uniform_n8_uncoordinated,10,0.021588361403471062,0.004449774770776684,7907.134064568943,14.921493301694484,0.021650869439772794,0.004474483305439126,0.0014071423350407977,4.7185904924300575
1,1,dynamic_evidence_3step,10,0.31072293564528086,0.01504062117134189,7194.323585667182,74.72545832017386,0.31100952372597335,0.015089068019666198,0.004756262032519001,23.630264749172913
1,1,online_static_3step,10,0.19467806407395397,0.0292857875115875,7653.102226128527,139.0205164101284,0.19488770342772802,0.029314407897294843,0.009260979160833125,43.96214733488206
1,1,pizza_repartition,10,0.2780496656732527,6.631019035832057e-05,7374.607740769199,101.1193237163708,0.27841264128195253,6.789505651647839e-05,2.096912336116298e-05,31.976737839961395
1,1,random_uniform_n8_uncoordinated,10,0.01875286120578685,0.004412646574923965,7919.503299932132,16.209299629391808,0.0188072910315224,0.004423314548778601,0.0013954013686100569,5.12583061050013
1,2,dynamic_evidence_3step,10,0.2577735948601817,0.018433589409208317,7524.378509166093,189.07921510581576,0.25799868123648123,0.018475674922592097,0.005829212798545589,59.79209779312927
1,2,online_static_3step,10,0.16499608315576741,0.02641306116871677,7825.339844205162,165.48975418413985,0.1651822194535339,0.026438264637831183,0.008352543327049395,52.3324552643262
1,2,pizza_repartition,10,0.22647462322186315,0.00010686248922131403,7655.004619847423,108.34463129551413,0.22676481790664343,0.00010410484270610953,3.3792886237454555e-05,34.261580714498415
1,2,random_uniform_n8_uncoordinated,10,0.014920998975222869,0.0034268853782818327,7938.061510896286,11.584468048721362,0.014965817758743703,0.0034325502259991677,0.0010836763075698305,3.663330451540594
1,3,dynamic_evidence_3step,10,0.20412398161135395,0.008726364914827091,7809.740016016944,118.97104099341455,0.2043420777167181,0.008743775208316307,0.002759518882463485,37.62194651404513
1,3,online_static_3step,10,0.12612981026596562,0.0446654537281977,8077.324869741969,162.09190761165218,0.12625915615242594,0.044712160436000487,0.014124456650596402,51.257961833440454
1,3,pizza_repartition,10,0.1720385258231491,8.532086086754178e-05,7970.094343592131,116.19153919111663,0.17225485693274306,9.006313122634412e-05,2.6980825226776184e-05,36.74299086846468
1,3,random_uniform_n8_uncoordinated,10,0.01149350978005685,0.0029047462028869895,7954.41001523028,10.656053774527956,0.01153846548329604,0.0029054468270397265,0.0009185614025848453,3.369740079674269
5,0,dynamic_evidence_3step,10,0.2728781191952659,0.013341016085780822,7330.373359705269,61.99967536140073,0.2732758808521918,0.013383574581327945,0.004218799713201169,19.60601883330494
5,0,online_static_3step,10,0.17061237733583973,0.039279311524374354,7716.777929039208,209.79929482458374,0.17086811861946297,0.03934357461216324,0.012421208934032339,66.34436231428606
5,0,pizza_repartition,10,0.2808045828720881,7.536683701035944e-05,7296.874155176731,70.91198912163482,0.2812039112724011,8.100867853783614e-05,2.3833086499541105e-05,22.42433990374489
5,0,random_uniform_n8_uncoordinated,10,0.013692701614059933,0.0032010355707450555,7939.374416896731,12.632564835372097,0.013738772771637143,0.0032216598846943746,0.0010122563274771426,3.994767756952582
5,1,dynamic_evidence_3step,10,0.24571067159875276,0.007059869363985721,7519.617742464119,84.66765965000097,0.24609640960216436,0.0070973833779315034,0.002232526717343919,26.774264864993775
5,1,online_static_3step,10,0.14930845014301916,0.023706484072733177,7867.492463469598,148.9568921245279,0.149530652176195,0.023737853261033278,0.007496648498434162,47.10430522935058
5,1,pizza_repartition,10,0.2450747297540267,2.374547550991074e-05,7510.442972565741,74.5094099152423,0.24542665547035036,2.4100487066692984e-05,7.508978673506608e-06,23.561944244729904
5,1,random_uniform_n8_uncoordinated,10,0.011503679106339437,0.0033430230819284524,7949.326843600077,11.307877852586026,0.01154061664088578,0.003362198478904679,0.001057156720940959,3.5758649517145575
5,2,dynamic_evidence_3step,10,0.2022412305991784,0.00885427692548218,7763.854638306757,77.10524892672807,0.2025426914347977,0.00887470103468004,0.002799968211839666,24.382820616271406
5,2,online_static_3step,10,0.1273600957203223,0.029685289629475958,8016.562015775492,167.95731594259783,0.12755888673831245,0.029736717341429318,0.009387312823091989,53.112766806711946
5,2,pizza_repartition,10,0.20291511808690682,5.9259891941821674e-05,7753.190346377317,78.5236272020607,0.20319174434581946,6.071094938119363e-05,1.8739623243161484e-05,24.83135120964666
5,2,random_uniform_n8_uncoordinated,10,0.009291376431751357,0.0027428518400618115,7960.073995277159,9.370646520024682,0.009323585177390174,0.00276050833200751,0.0008673659098979199,2.9632586151608615
5,3,dynamic_evidence_3step,10,0.15674773889499738,0.0036885496170256287,8043.01992802002,78.78413981607183,0.15699379153392432,0.003695588684339226,0.0011664218052342776,24.913732531594604
5,3,online_static_3step,10,0.11438538073343758,0.01902853845494166,8180.711791130911,133.87522189773006,0.11455094797556456,0.019060726091070717,0.0060173522061716936,42.335062345727636
5,3,pizza_repartition,10,0.15510946067094383,1.9911083622585503e-05,8035.727959768669,83.29899145897265,0.15533402511412434,2.745159724190026e-05,6.2964374929446616e-06,26.341453980526584
5,3,random_uniform_n8_uncoordinated,10,0.007027162880782893,0.0023971640987289432,7971.314349622519,7.4925154235624705,0.007055719034400894,0.002400902285658317,0.0007580498477168204,2.3693414142398623
10,0,dynamic_evidence_3step,10,0.2876431577898854,0.020781583917633288,7309.843745891538,143.43707073397843,0.28785920506153706,0.02083453451536956,0.006571713856564621,45.35878444220516
10,0,online_static_3step,10,0.1254332323890645,0.012232087858639907,8043.802706548576,179.66308729236064,0.1255332604318946,0.012250819345260244,0.0038681258172593843,56.81445673015135
10,0,pizza_repartition,10,0.20812318771910449,6.622306645595803e-05,7797.314240030037,103.03185138471812,0.20854100712838458,7.165590292762673e-05,2.0941572364152203e-05,32.58153219196826
10,0,random_uniform_n8_uncoordinated,10,0.011326242004078607,0.005033077848473396,7962.643889464431,15.955013477743663,0.011382723621334537,0.005053532192391191,0.001591598964211575,5.0454182688354186
10,1,dynamic_evidence_3step,10,0.25519174779448633,0.015565402554342134,7492.76105855694,115.45717704509265,0.25538302987997386,0.015595408106851645,0.0049222124769123955,36.51076516758019
10,1,online_static_3step,10,0.12524999892445016,0.011265590623913099,8061.661520342264,157.01850933991153,0.1253591069757744,0.011285502468161294,0.0035624925558602745,49.65361243185422
10,1,pizza_repartition,10,0.18747357526771924,9.159481676489024e-05,7937.965546909647,105.9707008822071,0.18780803367227566,0.0001104844517523487,2.896482428428285e-05,33.510878003218906
10,1,random_uniform_n8_uncoordinated,10,0.009346043065134944,0.005332613713022784,7968.348868287217,14.99836153196769,0.009388349648192119,0.005354790995380748,0.0016863205214999503,4.742898361167021
10,2,dynamic_evidence_3step,10,0.22958297860958826,0.009499611500602214,7703.827055402491,102.02975317962706,0.22977518124792393,0.009530700903759376,0.0030040409228632996,32.26464091524283
10,2,online_static_3step,10,0.12527415897349145,0.009811231244067868,8097.458178941514,99.95151159519565,0.12538203273373635,0.009825131363838719,0.0031025837381861835,31.607443221754792
10,2,pizza_repartition,10,0.1618265885283658,8.37612576528748e-05,8105.861613771548,109.27373960847456,0.16213975237717682,9.055207564527146e-05,2.6487635386329365e-05,34.55539056069357
10,2,random_uniform_n8_uncoordinated,10,0.006173054298822395,0.004092195966463164,7980.991836182982,10.832313480025416,0.00620619117114782,0.004111158958781272,0.0012940659885777612,3.4254782925825165
10,3,dynamic_evidence_3step,10,0.18702628690317238,0.004155864325192909,8002.39306074818,109.70173550747826,0.18727611378534098,0.004146436872673805,0.0013141996914248272,34.69073474769988
10,3,online_static_3step,10,0.11533364578105498,0.009287917102876648,8205.74399081702,136.64353904132705,0.11542953248208596,0.00930176852151225,0.0029370972763922637,43.21048109167342
10,3,pizza_repartition,10,0.13868901398503877,4.908086918280971e-05,8322.073739203806,112.18345727167582,0.1389585481551437,6.0815081092277505e-05,1.552073361584458e-05,35.47552407706743
10,3,random_uniform_n8_uncoordinated,10,0.0037846844272589096,0.0023295945263963717,7987.767562833489,7.805485789809312,0.003805434964912697,0.002339265422446739,0.0007366824728073782,2.4683113339875726
