dataset,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,w
2,49,random_uniform_n8_uncoordinated,online_static_3step,0.06652472645099963,0.020389050030246006,0.06662669732623216,8367.0,,67.47014297729184,0.9971362665303608,0.9851786293036824,8000.0,5179.0,0.0,488.970471998211,09f72ed3d5d6cacb4e058c3689636ec44d588e9249e5745b6f94c551a290cf51,49,
2,50,random_uniform_n8_uncoordinated,online_static_3step,0.06486090543022507,0.021255676428745422,0.0650020277110271,8356.0,,71.47397512666974,0.9976613626984076,0.9860088934716762,8000.0,5202.0,0.0,505.019051367417,183fe4afcb85edee069d5b151e37e11888df8765dd48e3eecba569d08da25f47,50,
2,51,random_uniform_n8_uncoordinated,online_static_3step,0.07270084562596447,0.02750305340743383,0.07275647768625283,8366.0,,56.76725062567037,0.9965484720275598,0.9823842093992872,8000.0,4959.0,0.0,478.4262650385499,001beb6e33cb37583676d8d112256ff90d3d3140f42e48beadce4b812ef2864d,51,
3,42,random_uniform_n8_uncoordinated,online_static_3step,0.08603586114951552,0.03975527984602231,0.08617294623228924,8351.0,,53.58998646820027,0.9971591841019282,0.9813397974900891,8000.0,4488.0,0.0,425.1681076728273,78b6301a32ee11bae9bf04eef594a95993c53cd686772fc110d159875c7841a7,42,
3,43,random_uniform_n8_uncoordinated,online_static_3step,0.10541331991346783,0.050239711297398196,0.105612061061018,8343.0,,33.43792662116041,0.9970090515545061,0.9700938395095594,8000.0,4535.0,0.0,431.5787552017719,b9d2ab5419352c1afc371a6279089c81c3dfdc4fe2474fec5333de4544414dd3,43,
3,44,random_uniform_n8_uncoordinated,online_static_3step,0.05404158180237979,0.015842039055429177,0.054137716133486107,8332.0,,76.65466926070039,0.9971791532223757,0.986954480273093,8000.0,5612.0,0.0,518.4244606201537,351cb2554f5e89c3f1a6b1a3b921b60e1688240503236848ab0bc5c9ea628dae,44,
3,45,random_uniform_n8_uncoordinated,online_static_3step,0.07654463682808454,0.03444759909268982,0.0766667889504042,8342.0,,50.50633322507308,0.9953277458503437,0.980200502864786,8000.0,5018.0,0.0,480.0388728152029,910e0ca2c86a2a47bedd9112f87bcc58f08489b378793c46b82c663831053eb5,45,
3,46,random_uniform_n8_uncoordinated,online_static_3step,0.07806191189914825,0.033092808362191105,0.07815616284942255,8339.0,,54.119777158774376,0.9964567626621523,0.981522466416182,8000.0,5206.0,0.0,496.2212015672121,e6b98d203c415f1a8c34b2b75a7e204e2d3e4b39022e095555c1486ea3c1d277,46,
3,47,random_uniform_n8_uncoordinated,online_static_3step,0.1538429215271718,0.07621008722634035,0.15411587864696166,8345.0,,21.289017341040463,0.996888917998428,0.953027423296226,8000.0,5500.0,0.0,535.8942626772914,dd3015a867cfc996eabb6fc00f5a1173d0286567e2c9082ab2bd0f83d5aa65a3,47,
3,48,random_uniform_n8_uncoordinated,online_static_3step,0.07852542910531388,0.036374724479284824,0.0786551696828483,8338.0,,48.82037617554859,0.9958200389168791,0.9795167493916024,8000.0,3947.0,0.0,379.14519764017314,aaec7a1c34c54a1bd039a1b8c18a5480353cfb7128f567430addb23f51f49801,48,
3,49,random_uniform_n8_uncoordinated,online_static_3step,0.12441067131317843,0.055806741212542754,0.12457405614500867,8342.0,,25.37805652588123,0.9971122868592682,0.9605958793976136,8000.0,4837.0,0.0,473.955266494304,650bb640d69c5e47dcd172790ed6271ade9dfaec816e703b4a3b9ca43387318b,49,
3,50,random_uniform_n8_uncoordinated,online_static_3step,0.05722054282214414,0.016362766888773188,0.05733417814825243,8335.0,,72.55529522024368,0.9971574162616749,0.9862174084336026,8000.0,5115.0,0.0,484.00492344168015,d620740098c790fc78b4cb8f00f8ec0164078ac4feaddb4fe434d42b87e1dc1b,50,
3,51,random_uniform_n8_uncoordinated,online_static_3step,0.09407420799557789,0.0371939638196279,0.09424237684891887,8329.0,,30.92652577523208,0.996557015818053,0.9676652978330704,8000.0,4584.0,0.0,444.0480830036104,66afefe803e1184e4b350ee305372fb8b28c8ad5acae401c4045a26a80212f03,51,
4,42,random_uniform_n8_uncoordinated,online_static_3step,0.23546189903352457,0.09743433132143695,0.2355921667723303,8499.0,,13.30215374941047,0.9956640278553363,0.9248242037463806,8000.0,4056.0,0.0,405.7055661061313,e498e96b657afb256b2918c44380f7421f2918a14b059ff7d8591b56c2a7d59e,42,
4,43,random_uniform_n8_uncoordinated,online_static_3step,0.18823115431139656,0.058170567924201236,0.18837679183150252,8559.0,,21.17952853598015,0.9976475690451627,0.9527845958279392,8000.0,4034.0,0.0,389.6540426376741,06e33eab45f5ec3553180be796337fcdf0dd1f787782f856cebb6255f584c18d,43,
4,44,random_uniform_n8_uncoordinated,online_static_3step,0.1572302362175479,0.046735421970381955,0.15726037772696494,8492.0,,24.984190307328607,0.9959921548563145,0.9599746884850348,8000.0,4092.0,0.0,403.0779402924236,12446b23479058cee913864dc4421ab4fa14764cf1988ed1c3a55e0d83d9031c,44,
4,45,random_uniform_n8_uncoordinated,online_static_3step,0.23623141942568995,0.1003107882753359,0.23641094628156664,8506.0,,14.274606132475013,0.9968305006890216,0.9299455276930564,8000.0,4109.0,0.0,412.7596623690333,1c0559b8be6391e094d7b2c47bd536b82d581afc126f163e1a71db87212b3092,45,
4,46,random_uniform_n8_uncoordinated,online_static_3step,0.24796578685602622,0.0997021898786238,0.24815881069597623,8534.0,,13.28031545248692,0.9969191152802686,0.9247005838394649,8000.0,4073.0,0.0,407.2058432751801,8a9b527e4b246b75a30334ce72e2bdbdfdf449c2051505e1daa58cd0aae3005e,46,
4,47,random_uniform_n8_uncoordinated,online_static_3step,0.22868202023631953,0.09591169078641025,0.2289009471539782,8498.0,,14.779406631762653,0.9962721403305763,0.9323382849585528,8000.0,3906.0,0.0,392.342152862344,2debedf1b10eb820ab15a9015a7e2e5dd7866ce1f7af039aa5580e53d638af84,47,
