dataset,planning_seed,victim_seed,sensor_seed,w,L_static3,L_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,T_static,T_dynamic,T_common,horizon,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,budget,size
1,45,25214903872,22562971641,1.0,0.006510230634558547,0.3477558212536762,0.0,8959.0,0.0,8959.0,8958,8508,8958,8959,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,46,25214903875,22562971642,0.0,0.3669691809957142,0.3669161145618925,0.9999999991808,2983.250004502657,0.9999999991808,2983.250004502657,8493,8493,8493,8494,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,46,25214903875,22562971642,0.5,0.2557455837397967,0.3237583279015717,0.9999872,4060.3083520006817,1.0,3257.208333333333,8625,8522,8625,8626,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,46,25214903875,22562971642,1.0,0.006685075153366024,0.3736747019178507,0.0,8957.0,0.9999872,2849.3280896009123,8956,8506,8956,8957,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,47,25214903874,22562971643,0.0,0.3376130720494805,0.3376130720494805,0.0,8500.0,0.0,8500.0,8499,8499,8499,8500,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,47,25214903874,22562971643,0.5,0.23536067665800503,0.35115673310369283,0.0,8943.0,0.0,8943.0,8942,8512,8942,8943,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,47,25214903874,22562971643,1.0,0.007768017866475004,0.35687267397058126,0.0,8792.0,0.0,8792.0,8791,8500,8791,8792,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,48,25214903901,22562971620,0.0,0.3679324404128178,0.3679324404128178,0.99999999983616,183.25000135828515,0.99999999983616,183.25000135828515,8486,8486,8486,8487,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,48,25214903901,22562971620,0.5,0.3089269027049688,0.35343074693952603,0.99999999983616,208.25000139072768,1.0,188.25000002234214,8709,8524,8709,8710,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,48,25214903901,22562971620,1.0,0.006861505427705778,0.33287537955168334,0.0,9130.0,1.0,211.45,9129,8501,9129,9130,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
