dataset,planning_seed,L_os,L_os3,L_dyn,L_dyn3,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,revisit_weight,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size
5,44,0.06490810790258032,0.15568141597225102,0.19582689328125413,0.27801465609053827,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,45,0.07421118623275276,0.1454904762439568,0.22046230609778228,0.27897160807925064,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,46,0.05429936904040151,0.19640675870342592,0.20346076837004834,0.26765282390972195,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,47,0.050604027023585685,0.1193332970801297,0.20913847315016595,0.26258237042334714,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,48,0.10972453610485167,0.2004816317221942,0.21416081026343464,0.2756738501997736,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,49,0.09855034756407942,0.15232410284326314,0.2064165255167676,0.2730695556497469,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,50,0.06232517160163446,0.1476887835174574,0.2266755244059357,0.27046683549018447,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
5,51,0.09910562140993927,0.21054644333791958,0.212863439169133,0.2687912568759886,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,42,0.03686715067605617,0.09439282076718422,0.21057320366208498,0.16825988868682137,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
7,43,0.03932001614730162,0.047191893550107514,0.2246040393006248,0.16642666019378305,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge
