dataset,planning_seed,L_os,L_os3,L_dyn,L_dyn3,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,revisit_weight,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size,D1_B,D3_B,I_B,H_S_B,H_D_B
5,42,0.0542352772001165,0.1141703524597992,0.2094667587144344,0.2715179183312299,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1552314815143179,0.1573475658714307,0.002116084357112802,0.0599350752596827,0.0620511596167955
5,43,0.0802957662976719,0.2012713169561962,0.2300612599321498,0.2720075533573619,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1497654936344779,0.07073623640116566,-0.07902925723331222,0.1209755506585243,0.04194629342521208
5,44,0.0649081079025803,0.155681415972251,0.1958268932812541,0.2780146560905382,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1309187853786738,0.12233324011828722,-0.008585545260386573,0.0907733080696707,0.08218776280928411
5,45,0.0742111862327527,0.1454904762439568,0.2204623060977822,0.2789716080792506,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.14625111986502948,0.13348113183529378,-0.012769988029735696,0.0712792900112041,0.05850930198146839
5,46,0.0542993690404015,0.1964067587034259,0.2034607683700483,0.2676528239097219,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1491613993296468,0.071246065206296,-0.0779153341233508,0.14210738966302439,0.06419205553967358
5,47,0.0506040270235856,0.1193332970801297,0.2091384731501659,0.2625823704233471,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1585344461265803,0.1432490733432174,-0.015285372783362894,0.0687292700565441,0.05344389727318119
5,48,0.1097245361048516,0.2004816317221942,0.2141608102634346,0.2756738501997736,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.10443627415858299,0.0751922184775794,-0.029244055681003592,0.09075709561734259,0.061513039936339
5,49,0.0985503475640794,0.1523241028432631,0.2064165255167676,0.2730695556497469,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.10786617795268819,0.1207454528064838,0.012879274853795614,0.05377375527918368,0.0666530301329793
5,50,0.0623251716016344,0.1476887835174574,0.2266755244059357,0.2704668354901844,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1643503528043013,0.12277805197272701,-0.04157230083157429,0.085363611915823,0.04379131108424872
5,51,0.0991056214099392,0.2105464433379195,0.212863439169133,0.2687912568759886,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1137578177591938,0.058244813538069096,-0.05551300422112471,0.1114408219279803,0.05592781770685559
