dataset,planning_seed,planning_mode,w,p_d,tau,P_detect,RMST,L,exposure_multiplicity,revisit_fraction,observed_cells,T,H,T_common,H_common,actual_distance_total,planner_wall_time,number_of_replans,initial_positions,initial_positions_hash,trajectory_hash,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,condition_key,condition_key_hash,condition_id,curve,victim_seed,sensor_seed,failure_seed,distribution_seed,implementation_version,git_commit,source_hash,experiment_id,config_hash,belief_model,fix_profile,behavior_profile,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt
1,42,online_static_3step,0.5,0.6,10000.0,0.2278645921698407,7278.263003214051,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,412.0706566257868,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""pd_060"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",8bcc633790e55489f4fbf2bd9b0dc37e28e3051e2872807588f965813e490d2b,pd_060,p_d,546927402,1691573057,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.6,10000.0,0.352534072513462,6768.93396697025,0.3548071336971187,12.498489425981873,0.9199903311578439,13571,8504,8505,8676,8677,200023.32625379376,431.3553768317215,4014,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,03e0f455afb40503d45b1632998607174caf3a107e8dd5e8a1f3ef45a650a7d9,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""pd_060"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",8bcc633790e55489f4fbf2bd9b0dc37e28e3051e2872807588f965813e490d2b,pd_060,p_d,546927402,1691573057,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.5,0.95,10000.0,0.22945082483415796,7267.9368207455755,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,412.8763836240396,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""pd_095"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",d6a45689f8c015d047506b0521b3bb8739ec6480e1dcbc30a7bddda4e459b8cc,pd_095,p_d,1112298705,428526348,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.95,10000.0,0.3129555362035339,7010.861648720744,0.3129667279495317,16.223359479625024,0.9383604856160709,10454,8516,8517,8676,8677,200002.149262061,443.6868854362983,4107,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,d8389f465e654e642dcd316817a044cc692c6909462a3c9bd2f7f0e3b6b1b538,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""pd_095"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",d6a45689f8c015d047506b0521b3bb8739ec6480e1dcbc30a7bddda4e459b8cc,pd_095,p_d,1112298705,428526348,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.5,0.8,2000.0,0.22922920578577377,7269.432917237908,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,412.6027181968093,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""tau_2000"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",c6bec9d7ef8d6cc4c988a25905b1e25ac861fe33d4c60bda138851fd7ea3ac8b,tau_2000,tau,1298125916,2726421932,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.8,2000.0,0.3287725108362778,6993.181135291601,0.32901211120499496,14.766255215577191,0.9322780227348988,11504,8524,8525,8676,8677,200006.20554913703,441.8701604360249,4055,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,568a5ceb33e4acb8b0dd2d723fe580ee7992c4c9eadb432d99554ff319f1d27b,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""tau_2000"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",c6bec9d7ef8d6cc4c988a25905b1e25ac861fe33d4c60bda138851fd7ea3ac8b,tau_2000,tau,1298125916,2726421932,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.5,0.8,32000.0,0.22922920578577377,7269.432917237908,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,413.4498160597868,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""tau_32000"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",8a58528425303c8d4847dd0f657d9dd8b3e59f2d0adcd442e9348c96ebfaa71e,tau_32000,tau,4174477549,2697197030,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.8,32000.0,0.30950559962982893,7025.601632177361,0.3097341452406645,15.883915165165165,0.9370432296066974,10656,8501,8502,8676,8677,200013.18879433547,444.61169995646924,4134,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,fb0bf087fa5a445d21323d74c1699824a9a96022760eca55a25bb08cae2f83a2,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""tau_32000"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",8a58528425303c8d4847dd0f657d9dd8b3e59f2d0adcd442e9348c96ebfaa71e,tau_32000,tau,4174477549,2697197030,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.5,0.8,128000.0,0.22922920578577377,7269.432917237908,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,413.8140938675497,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""tau_128000"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",a5c02adbe48ed5ee84f4ce8296410944cac16371cf65714dbb3f0b6d5aca5bba,tau_128000,tau,2577658742,1360186789,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.8,128000.0,0.35580846886193473,6789.075011841129,0.35617089813879144,12.365380407031877,0.9191290549030481,13709,8510,8511,8676,8677,200005.68859903933,436.1525832093321,3970,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,7448f631b387f7039789ed968e2d4fd97abc54691169398863aeb2a709fcfe23,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""tau_128000"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",a5c02adbe48ed5ee84f4ce8296410944cac16371cf65714dbb3f0b6d5aca5bba,tau_128000,tau,2577658742,1360186789,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
