dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,curve,w
1,42,nominal,online_static_3step,dynamic_3step,0.1395724279194343,0.06163638800335964,0.13977042616814828,8677.0,26.572261429886467,11.750780978826796,0.9623667709788797,0.9148992733502688,4219.0,3967.0,416.46579145803116,431.02524952590466,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,nominal,0.5
1,42,pd_060,online_static_3step,dynamic_3step,0.12466948034362133,0.0586987479824595,0.12534605952258387,8677.0,26.572261429886467,12.498489425981873,0.9623667709788797,0.9199903311578439,4219.0,4014.0,412.0706566257868,431.3553768317215,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,p_d,0.5
1,42,pd_095,online_static_3step,dynamic_3step,0.08350471136937593,0.02962719511638029,0.08350565377499686,8677.0,26.572261429886467,16.223359479625024,0.9623667709788797,0.9383604856160709,4219.0,4107.0,412.8763836240396,443.6868854362983,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,p_d,0.5
1,42,tau_128000,online_static_3step,dynamic_3step,0.12657926307616096,0.05535990611925546,0.12670982396425662,8677.0,26.572261429886467,12.365380407031877,0.9623667709788797,0.9191290549030481,4219.0,3970.0,413.8140938675497,436.1525832093321,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,tau,0.5
1,42,tau_2000,online_static_3step,dynamic_3step,0.09954330505050402,0.03183724581610088,0.09955103703046014,8677.0,26.572261429886467,14.766255215577191,0.9623667709788797,0.9322780227348988,4219.0,4055.0,412.6027181968093,441.8701604360249,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,tau,0.5
1,42,tau_32000,online_static_3step,dynamic_3step,0.08027639384405516,0.028100874157029745,0.08027307106612969,8677.0,26.572261429886467,15.883915165165165,0.9623667709788797,0.9370432296066974,4219.0,4134.0,413.4498160597868,444.61169995646924,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,tau,0.5
1,42,w_0,online_static_3step,dynamic_3step,0.0,0.0,0.0,8531.0,11.931029638994241,11.931029638994241,0.9161849370710056,0.9161849370710056,4143.0,4143.0,368.94385364372283,405.1393801853992,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,w,0.0
1,42,w_025,online_static_3step,dynamic_3step,0.1704331381443453,0.09064503964149642,0.17065812458009927,8618.0,32.68262108262108,11.448016786246107,0.9694026988388716,0.9126486256378117,3782.0,4043.0,369.40701403142884,443.40518500865437,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,w,0.25
1,42,w_075,online_static_3step,dynamic_3step,0.3199752199554108,0.1901430272578599,0.32029083794819124,9277.0,241.50260416666666,12.147223017463498,0.995859257901377,0.9176766575733115,6491.0,4022.0,626.3165400286671,430.87583843269385,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,w,0.75
1,42,w_1,online_static_3step,dynamic_3step,0.32232191610246663,0.2023098354130389,0.32254115556160395,8524.0,1437.1949152542372,14.442016663832682,0.9993042001544912,0.9307575927048809,2839.0,4026.0,269.9848854437005,440.5648382694926,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,w,1.0
1,43,nominal,online_static_3step,dynamic_3step,0.14367248296997479,0.058307794678936486,0.14376947505251764,8800.0,32.17416144489495,13.238550066546622,0.9689191588811814,0.9244630269196197,4919.0,3905.0,478.903707397636,424.97718363953754,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,nominal,0.5
1,43,pd_060,online_static_3step,dynamic_3step,0.15150155502812304,0.06971764125426778,0.1523245394100931,8800.0,32.17416144489495,12.713269964822992,0.9689191588811814,0.9213420305895373,4919.0,4012.0,479.60490262671374,438.578395227436,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,p_d,0.5
1,43,pd_095,online_static_3step,dynamic_3step,0.16607848193354013,0.08388156997277106,0.16609045175611953,8800.0,32.17416144489495,11.333824021411843,0.9689191588811814,0.9117685259528645,4919.0,4206.0,477.38030580594204,456.59763238881715,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,p_d,0.5
1,43,tau_128000,online_static_3step,dynamic_3step,0.16159377533581468,0.07126055052776596,0.16173373701134075,8800.0,32.17416144489495,11.868006442125902,0.9689191588811814,0.9157398502540017,4919.0,4082.0,482.60302508063614,438.41407476738095,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,tau,0.5
1,43,tau_2000,online_static_3step,dynamic_3step,0.13647012438310843,0.05697742734177651,0.13653667943729447,8800.0,32.17416144489495,13.726661264181523,0.9689191588811814,0.9271490728332162,4919.0,3978.0,478.60395664465614,429.35689487401396,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,tau,0.5
1,43,tau_32000,online_static_3step,dynamic_3step,0.13033178588205432,0.05557892075383227,0.13045606996491688,8800.0,32.17416144489495,12.850961904037716,0.9689191588811814,0.9221848132873381,4919.0,4031.0,478.3532557603903,435.70399452280253,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,tau,0.5
1,43,w_0,online_static_3step,dynamic_3step,1.178945965069067e-05,-1.175751346998429e-06,1.270856673946108e-05,8486.0,11.13337296868807,11.132034346103039,0.9101799604834546,0.9101691596603754,4185.0,4179.0,373.8352432609536,404.84094985201955,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,w,0.0
1,43,w_025,online_static_3step,dynamic_3step,0.1287502894617077,0.06274684521916105,0.1288623344041796,8714.0,21.250704225352113,11.487141107633692,0.9529427359490986,0.9129461377178123,4379.0,4142.0,429.7384194289334,455.6497837973293,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,w,0.25
